match_id,season,match_datetime_utc,match_outcome_code,outcome_id,home_goal_diff_last_3,home_xg_diff_last_3,home_points_last_3,home_points_pct_last_3,home_rest_days_capped,away_goal_diff_last_3,away_xg_diff_last_3,away_points_last_3,away_points_pct_last_3,away_rest_days_capped,form_pct_diff_last5,form_diff_last5,rest_diff,rest_reset_flag_pair,match_day_index,match_day_of_year_norm,match_weekday_index,match_weekday_Friday,match_weekday_Monday,match_weekday_Saturday,match_weekday_Sunday,match_weekday_Thursday,match_weekday_Tuesday,match_weekday_Wednesday
18221,2022,2022-08-15 19:00:00,D,1,0.0,1.07289,1.0,0.3333333333333333,0.0,-2.0,-0.22964,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0,10.0,0.6202185792349727,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18222,2022,2022-08-20 11:30:00,H,2,3.0,0.978284,4.0,0.6666666666666666,8.0625,-1.0,0.0992649999999998,1.0,0.1666666666666666,7.0,0.5,3.0,1.0625,0,15.0,0.6338797814207651,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18223,2022,2022-08-20 14:00:00,H,2,-2.0,-0.8209200000000001,1.0,0.1666666666666666,10.0,-1.0,1.192444,3.0,0.5,6.895833333333333,-0.3333333333333333,-2.0,3.104166666666667,0,15.0,0.6338797814207651,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18224,2022,2022-08-20 14:00:00,D,1,-2.0,-2.673057,0.0,0.0,6.791666666666667,-1.0,-1.737915,3.0,0.5,7.958333333333333,-0.5,-3.0,-1.166666666666666,0,15.0,0.6338797814207651,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18225,2022,2022-08-20 14:00:00,H,2,0.0,-0.960135,2.0,0.3333333333333333,7.104166666666667,4.0,0.967184,4.0,0.6666666666666666,6.145833333333333,-0.3333333333333333,-2.0,0.958333333333334,0,15.0,0.6338797814207651,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18226,2022,2022-08-20 14:00:00,A,0,-2.0,-2.795393,1.0,0.1666666666666666,6.041666666666667,-3.0,-1.818534,1.0,0.1666666666666666,7.0,0.0,0.0,-0.958333333333333,0,15.0,0.6338797814207651,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18227,2022,2022-08-20 16:30:00,A,0,-2.0,-1.467248,3.0,0.5,7.0,4.0,2.5496609999999995,6.0,1.0,7.791666666666667,-0.5,-3.0,-0.791666666666667,0,15.0,0.6338797814207651,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18228,2022,2022-08-21 13:00:00,H,2,1.0,0.3758600000000001,4.0,0.6666666666666666,7.0,1.0,1.633537,4.0,0.6666666666666666,7.958333333333333,0.0,0.0,-0.958333333333333,0,16.0,0.6366120218579235,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
18229,2022,2022-08-21 13:00:00,A,0,-3.0,-2.2265620000000004,0.0,0.0,6.895833333333333,1.0,1.732268,4.0,0.6666666666666666,6.041666666666667,-0.6666666666666666,-4.0,0.8541666666666661,0,16.0,0.6366120218579235,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
18230,2022,2022-08-21 15:30:00,D,1,2.0,0.1988769999999999,4.0,0.6666666666666666,7.0,6.0,3.907896,6.0,1.0,5.9375,-0.3333333333333333,-2.0,1.0625,0,16.0,0.6366120218579235,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
18231,2022,2022-08-22 19:00:00,H,2,-5.0,-0.7996820000000001,0.0,0.0,6.145833333333333,0.0,1.66417,2.0,0.3333333333333333,9.3125,-0.3333333333333333,-2.0,-3.166666666666667,0,17.0,0.639344262295082,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18232,2022,2022-08-27 11:30:00,A,0,-2.0,-0.8199319999999999,4.0,0.4444444444444444,7.0,-4.0,-0.305052,3.0,0.3333333333333333,9.104166666666666,0.1111111111111111,1.0,-2.104166666666666,0,22.0,0.6530054644808743,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18234,2022,2022-08-27 14:00:00,H,2,3.0,2.790084,7.0,0.7777777777777778,7.958333333333333,4.0,1.893078,7.0,0.7777777777777778,7.958333333333333,0.0,0.0,0.0,0,22.0,0.6530054644808743,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
