,EST. BASE SALARY,EST. BASE SALARY,EST. BASE SALARY,BIO,BIO,BIO,
Bruno Guimarães,"€ 181,180","€ 9,421,367","€ 9,421,367",M,27,Brazil,Newcastle
Nathan Aké,"€ 181,180","€ 9,421,367","€ 9,421,367",D,29,Netherlands,Manchester City
Andrew Robertson,"€ 181,180","€ 9,421,367","€ 9,421,367",D,30,Scotland,Liverpool
Pedro Neto,"€ 181,180","€ 9,421,367","€ 9,421,367",F,24,Portugal,Chelsea
Luke Shaw,"€ 169,856","€ 8,832,532","€ 8,832,532",D,29,England,Manchester United
Jarrod Bowen,"€ 169,856","€ 8,832,532","€ 8,832,532",F,28,England,West Ham
Ben White,"€ 169,856","€ 8,832,532","€ 8,832,532",D,27,England,Arsenal
Lucas Paquetá,"€ 169,856","€ 8,832,532","€ 8,832,532",F,27,Brazil,West Ham
Lloyd Kelly,"€ 169,856","€ 8,832,532","€ 8,832,532",D,25,England,Newcastle
Joelinton,"€ 169,856","€ 8,832,532","€ 8,832,532",M,28,Brazil,Newcastle
Ryan Gravenberch,"€ 169,856","€ 8,832,532","€ 8,832,532",M,22,Netherlands,Liverpool
Oleksandr Zinchenko,"€ 169,856","€ 8,832,532","€ 8,832,532",D,28,Ukraine,Arsenal
Moisés Caicedo,"€ 169,856","€ 8,832,532","€ 8,832,532",M,23,Ecuador,Chelsea
Alisson,"€ 169,856","€ 8,832,532","€ 8,832,532",K,32,Brazil,Liverpool
Emiliano Martínez,"€ 169,856","€ 8,832,532","€ 8,832,532",K,32,Argentina,Aston Villa
Alexis Mac Allister,"€ 169,856","€ 8,832,532","€ 8,832,532",M,26,Argentina,Liverpool
Anthony Gordon,"€ 169,856","€ 8,832,532","€ 8,832,532",F,23,England,Newcastle
Federico Chiesa,"€ 169,856","€ 8,832,532","€ 8,832,532",F,27,Italy,Liverpool
Mateo Kovacic,"€ 169,856","€ 8,832,532","€ 8,832,532",M,30,Croatia,Manchester City
Jadon Sancho,"€ 169,856","€ 8,832,532","€ 8,832,532",F,24,England,Manchester United
Christian Eriksen,"€ 169,856","€ 8,832,532","€ 8,832,532",M,32,Denmark,Manchester United
Kalvin Phillips,"€ 169,856","€ 8,832,532","€ 8,832,532",M,29,England,Ipswich Town
Youri Tielemans,"€ 169,856","€ 8,832,532","€ 8,832,532",M,27,Belgium,Aston Villa
Diogo Jota,"€ 158,533","€ 8,243,697","€ 8,243,697",F,28,Portugal,Liverpool
Dominic Solanke,"€ 158,533","€ 8,243,697","€ 8,243,697",F,27,England,Tottenham
Donyell Malen,"€ 158,533","€ 8,243,697","€ 8,243,697",F,26,Netherlands,Aston Villa
Darwin Núñez,"€ 158,533","€ 8,243,697","€ 8,243,697",F,25,Uruguay,Liverpool
Amadou Onana,"€ 158,533","€ 8,243,697","€ 8,243,697",M,23,Belgium,Aston Villa
Jamie Vardy,"€ 158,533","€ 8,243,697","€ 8,243,697",F,38,England,Leicester
Noussair Mazraoui,"€ 152,871","€ 7,949,279","€ 7,949,279",D,27,Morocco,Manchester United
Bernd Leno,"€ 147,209","€ 7,654,861","€ 7,654,861",K,32,Germany,Fulham
Ollie Watkins,"€ 147,209","€ 7,654,861","€ 7,654,861",F,29,England,Aston Villa
Cole Palmer,"€ 147,209","€ 7,654,861","€ 7,654,861",F,22,England,Chelsea
Abdoulaye Doucouré,"€ 147,209","€ 7,654,861","€ 7,654,861",M,32,Mali,Everton
Mikel Merino,"€ 147,209","€ 7,654,861","€ 7,654,861",M,28,Spain,Arsenal
Matheus Nunes,"€ 147,209","€ 7,654,861","€ 7,654,861",M,26,Portugal,Manchester City
Jordan Pickford,"€ 141,547","€ 7,360,443","€ 7,360,443",K,30,England,Everton
Danny Ings,"€ 141,547","€ 7,360,443","€ 7,360,443",F,32,England,West Ham
Victor Lindelöf,"€ 135,885","€ 7,066,026","€ 7,066,026",D,30,Sweden,Manchester United
Tosin Adarabioyo,"€ 135,885","€ 7,066,026","€ 7,066,026",D,27,England,Chelsea
Cody Gakpo,"€ 135,885","€ 7,066,026","€ 7,066,026",F,25,Netherlands,Liverpool
Riccardo Calafiori,"€ 135,885","€ 7,066,026","€ 7,066,026",D,22,Italy,Arsenal
Boubacar Kamara,"€ 135,885","€ 7,066,026","€ 7,066,026",M,25,France,Aston Villa
John McGinn,"€ 135,885","€ 7,066,026","€ 7,066,026",M,30,Scotland,Aston Villa
Leon Bailey,"€ 135,885","€ 7,066,026","€ 7,066,026",F,27,Jamaica,Aston Villa
Lucas Digne,"€ 135,885","€ 7,066,026","€ 7,066,026",D,31,France,Aston Villa
Dominik Szoboszlai,"€ 135,885","€ 7,066,026","€ 7,066,026",M,24,Hungary,Liverpool
Amad Diallo,"€ 135,885","€ 7,066,026","€ 7,066,026",F,22,Cote d'Ivoire,Manchester United
André Onana,"€ 135,885","€ 7,066,026","€ 7,066,026",K,28,Cameroon,Manchester United
Alphonse Areola,"€ 135,885","€ 7,066,026","€ 7,066,026",K,31,France,West Ham
Lisandro Martínez,"€ 135,885","€ 7,066,026","€ 7,066,026",D,27,Argentina,Manchester United
Manuel Ugarte,"€ 135,885","€ 7,066,026","€ 7,066,026",M,23,Uruguay,Manchester United
Alexander Isak,"€ 135,885","€ 7,066,026","€ 7,066,026",F,25,Sweden,Newcastle
Idrissa Gueye,"€ 135,885","€ 7,066,026","€ 7,066,026",M,35,Senegal,Everton
Aaron Ramsdale,"€ 135,885","€ 7,066,026","€ 7,066,026",K,26,England,Southampton
Kieran Trippier,"€ 135,885","€ 7,066,026","€ 7,066,026",D,34,England,Newcastle
Sandro Tonali,"€ 135,885","€ 7,066,026","€ 7,066,026",M,24,Italy,Newcastle
Marco Asensio,"€ 131,922","€ 6,859,933","€ 6,859,933",F,29,Spain,Aston Villa
James Ward-Prowse,"€ 130,223","€ 6,771,608","€ 6,771,608",M,29,England,Nottingham Forest
Leny Yoro,"€ 130,223","€ 6,771,608","€ 6,771,608",D,19,France,Manchester United
James Ward-Prowse,"€ 130,223","€ 6,771,608","€ 6,771,608",M,30,England,West Ham
Dejan Kulusevski,"€ 124,561","€ 6,477,190","€ 6,477,190",F,24,Sweden,Tottenham
Jorginho,"€ 124,561","€ 6,477,190","€ 6,477,190",M,33,Italy,Arsenal
Raheem Sterling,"€ 124,561","€ 6,477,190","€ 6,477,190",F,30,England,Arsenal
Kieran Tierney,"€ 124,561","€ 6,477,190","€ 6,477,190",D,27,Scotland,Arsenal
Nikola Milenković,"€ 118,899","€ 6,182,772","€ 6,182,772",D,27,Serbia,Nottingham Forest
Daichi Kamada,"€ 118,899","€ 6,182,772","€ 6,182,772",F,28,Japan,Crystal Palace
Joshua Zirkzee,"€ 118,899","€ 6,182,772","€ 6,182,772",F,23,Netherlands,Manchester United
Ben Chilwell,"€ 113,238","€ 5,888,355","€ 5,888,355",D,28,England,Chelsea
Ederson,"€ 113,238","€ 5,888,355","€ 5,888,355",K,31,Brazil,Manchester City
Jadon Sancho,"€ 113,238","€ 5,888,355","€ 5,888,355",F,24,England,Chelsea
Ben Chilwell,"€ 113,238","€ 5,888,355","€ 5,888,355",D,28,England,Crystal Palace
Matt Targett,"€ 113,238","€ 5,888,355","€ 5,888,355",D,29,England,Newcastle
Dean Henderson,"€ 113,238","€ 5,888,355","€ 5,888,355",K,27,England,Crystal Palace
Mykhailo Mudryk,"€ 113,238","€ 5,888,355","€ 5,888,355",F,24,Ukraine,Chelsea
Pau Torres,"€ 113,238","€ 5,888,355","€ 5,888,355",D,28,Spain,Aston Villa
Dominic Calvert-Lewin,"€ 113,238","€ 5,888,355","€ 5,888,355",F,27,England,Everton
Takehiro Tomiyasu,"€ 113,238","€ 5,888,355","€ 5,888,355",D,26,Japan,Arsenal
James Tarkowski,"€ 113,238","€ 5,888,355","€ 5,888,355",D,32,England,Everton
Diego Carlos,"€ 113,238","€ 5,888,355","€ 5,888,355",D,31,Brazil,Aston Villa
Levi Colwill,"€ 113,238","€ 5,888,355","€ 5,888,355",D,21,England,Chelsea
Gabriel Magalhães,"€ 113,238","€ 5,888,355","€ 5,888,355",D,27,Brazil,Arsenal
Raúl Jiménez,"€ 113,238","€ 5,888,355","€ 5,888,355",F,34,Mexico,Fulham
João Gomes,"€ 113,238","€ 5,888,355","€ 5,888,355",M,24,Brazil,Wolverhampton
Reiss Nelson,"€ 113,238","€ 5,888,355","€ 5,888,355",F,25,England,Fulham
David Raya,"€ 113,238","€ 5,888,355","€ 5,888,355",K,29,Spain,Arsenal
Edson Álvarez,"€ 113,238","€ 5,888,355","€ 5,888,355",M,27,Mexico,West Ham
Nicolas Jackson,"€ 113,238","€ 5,888,355","€ 5,888,355",F,23,Senegal,Chelsea
Eberechi Eze,"€ 113,238","€ 5,888,355","€ 5,888,355",F,26,England,Crystal Palace
Max Kilman,"€ 113,238","€ 5,888,355","€ 5,888,355",D,27,England,West Ham
Tyrone Mings,"€ 113,238","€ 5,888,355","€ 5,888,355",D,31,England,Aston Villa
Ian Maatsen,"€ 113,238","€ 5,888,355","€ 5,888,355",D,22,Netherlands,Aston Villa
Emerson,"€ 107,576","€ 5,593,937","€ 5,593,937",D,30,Italy,West Ham
Odsonne Edouard,"€ 101,914","€ 5,299,519","€ 5,299,519",F,27,France,Leicester
Harry Winks,"€ 101,914","€ 5,299,519","€ 5,299,519",M,29,England,Leicester
Mohammed Kudus,"€ 101,914","€ 5,299,519","€ 5,299,519",F,24,Ghana,West Ham
Niclas Füllkrug,"€ 101,914","€ 5,299,519","€ 5,299,519",F,31,Germany,West Ham
Tomas Soucek,"€ 101,914","€ 5,299,519","€ 5,299,519",M,29,Czech Republic,West Ham
Jurrien Timber,"€ 101,914","€ 5,299,519","€ 5,299,519",D,23,Netherlands,Arsenal
Aaron Wan-Bissaka,"€ 101,914","€ 5,299,519","€ 5,299,519",D,27,England,West Ham
Richarlison,"€ 101,914","€ 5,299,519","€ 5,299,519",F,27,Brazil,Tottenham
Gonçalo Guedes,"€ 101,914","€ 5,299,519","€ 5,299,519",F,28,Portugal,Wolverhampton
Brennan Johnson,"€ 101,914","€ 5,299,519","€ 5,299,519",F,23,Wales,Tottenham
Joachim Andersen,"€ 101,914","€ 5,299,519","€ 5,299,519",D,28,Denmark,Fulham
Matheus Cunha,"€ 101,914","€ 5,299,519","€ 5,299,519",F,25,Brazil,Wolverhampton
Pablo Sarabia,"€ 101,914","€ 5,299,519","€ 5,299,519",F,32,Spain,Wolverhampton
Jack Harrison,"€ 101,914","€ 5,299,519","€ 5,299,519",F,28,England,Everton
Chris Wood,"€ 101,914","€ 5,299,519","€ 5,299,519",F,33,New Zealand,Nottingham Forest
Benoît Badiashile,"€ 101,914","€ 5,299,519","€ 5,299,519",D,23,France,Chelsea
Sven Botman,"€ 101,914","€ 5,299,519","€ 5,299,519",D,25,Netherlands,Newcastle
Eddie Nketiah,"€ 101,914","€ 5,299,519","€ 5,299,519",F,25,England,Crystal Palace
Stefan Ortega Moreno,"€ 101,914","€ 5,299,519","€ 5,299,519",K,32,Germany,Manchester City
Leandro Trossard,"€ 101,914","€ 5,299,519","€ 5,299,519",F,30,Belgium,Arsenal
Ferdi Kadıoğlu,"€ 99,083","€ 5,152,310","€ 5,152,310",D,25,Turkey,Brighton
Radu Drăgușin,"€ 96,252","€ 5,005,101","€ 5,005,101",D,23,Romania,Tottenham
Diogo Dalot,"€ 96,252","€ 5,005,101","€ 5,005,101",D,25,Portugal,Manchester United
Joe Gomez,"€ 96,252","€ 5,005,101","€ 5,005,101",D,27,England,Liverpool
Michail Antonio,"€ 96,252","€ 5,005,101","€ 5,005,101",F,34,Jamaica,West Ham
Pedro Porro,"€ 96,252","€ 5,005,101","€ 5,005,101",D,25,Spain,Tottenham
Emmanuel Agbadou,"€ 96,252","€ 5,005,101","€ 5,005,101",D,27,Cote d'Ivoire,Wolverhampton
Evanilson,"€ 96,252","€ 5,005,101","€ 5,005,101",F,25,Brazil,Bournemouth
Rasmus Højlund,"€ 96,252","€ 5,005,101","€ 5,005,101",F,22,Denmark,Manchester United
Joe Willock,"€ 90,590","€ 4,710,684","€ 4,710,684",M,25,England,Newcastle
Micky van de Ven,"€ 90,590","€ 4,710,684","€ 4,710,684",D,23,Netherlands,Tottenham
Mathys Tel,"€ 90,590","€ 4,710,684","€ 4,710,684",F,19,France,Tottenham
Alex Iwobi,"€ 90,590","€ 4,710,684","€ 4,710,684",F,28,Nigeria,Fulham
Callum Hudson-Odoi,"€ 90,590","€ 4,710,684","€ 4,710,684",F,24,England,Nottingham Forest
Morgan Gibbs-White,"€ 90,590","€ 4,710,684","€ 4,710,684",F,25,England,Nottingham Forest
Kaoru Mitoma,"€ 90,590","€ 4,710,684","€ 4,710,684",F,27,Japan,Brighton
Lewis Dunk,"€ 90,590","€ 4,710,684","€ 4,710,684",D,33,England,Brighton
Boubakary Soumaré,"€ 90,590","€ 4,710,684","€ 4,710,684",M,25,France,Leicester
Ricardo Pereira,"€ 90,590","€ 4,710,684","€ 4,710,684",D,31,Portugal,Leicester
Michael Keane,"€ 90,590","€ 4,710,684","€ 4,710,684",D,32,England,Everton
Nélson Semedo,"€ 90,590","€ 4,710,684","€ 4,710,684",D,31,Portugal,Wolverhampton
Ben Davies,"€ 90,590","€ 4,710,684","€ 4,710,684",D,32,Wales,Tottenham
Toti Gomes,"€ 90,590","€ 4,710,684","€ 4,710,684",D,26,Portugal,Wolverhampton
Kiernan Dewsbury-Hall,"€ 90,590","€ 4,710,684","€ 4,710,684",M,26,England,Chelsea
Justin Kluivert,"€ 90,590","€ 4,710,684","€ 4,710,684",F,25,Netherlands,Bournemouth
Carlos Soler,"€ 90,590","€ 4,710,684","€ 4,710,684",M,28,Spain,West Ham
Harvey Barnes,"€ 90,590","€ 4,710,684","€ 4,710,684",F,27,England,Newcastle
Matty Cash,"€ 90,590","€ 4,710,684","€ 4,710,684",D,27,Poland,Aston Villa
Wilfred Ndidi,"€ 84,928","€ 4,416,266","€ 4,416,266",M,28,Nigeria,Leicester
Destiny Udogie,"€ 84,928","€ 4,416,266","€ 4,416,266",D,22,Italy,Tottenham
Jhon Durán,"€ 84,928","€ 4,416,266","€ 4,416,266",F,20,Colombia,Aston Villa
Georginio Rutter,"€ 84,928","€ 4,416,266","€ 4,416,266",F,22,France,Brighton
Murillo,"€ 84,928","€ 4,416,266","€ 4,416,266",D,22,Brazil,Nottingham Forest
Marcus Rashford,"€ 84,928","€ 4,416,266","€ 4,416,266",F,27,England,Manchester United
Archie Gray,"€ 84,928","€ 4,416,266","€ 4,416,266",D,18,England,Tottenham
Conor Coady,"€ 84,928","€ 4,416,266","€ 4,416,266",D,31,England,Leicester
Ben Godfrey,"€ 84,928","€ 4,416,266","€ 4,416,266",D,27,England,Ipswich Town
Rodrigo Bentancur,"€ 84,928","€ 4,416,266","€ 4,416,266",M,27,Uruguay,Tottenham
Ezri Konsa,"€ 84,928","€ 4,416,266","€ 4,416,266",D,27,England,Aston Villa
Guido Rodríguez,"€ 84,928","€ 4,416,266","€ 4,416,266",M,30,Argentina,West Ham
Morgan Rogers,"€ 84,928","€ 4,416,266","€ 4,416,266",F,22,England,Aston Villa
Conor Bradley,"€ 84,928","€ 4,416,266","€ 4,416,266",D,21,Northern Ireland,Liverpool
Ibrahim Sangaré,"€ 84,928","€ 4,416,266","€ 4,416,266",M,27,Cote d'Ivoire,Nottingham Forest
Patson Daka,"€ 84,928","€ 4,416,266","€ 4,416,266",F,26,Zambia,Leicester
Kepa Arrizabalaga,"€ 84,928","€ 4,416,266","€ 4,416,266",K,29,Spain,Chelsea
Konstantinos Tsimikas,"€ 84,928","€ 4,416,266","€ 4,416,266",D,28,Greece,Liverpool
Kepa Arrizabalaga,"€ 84,928","€ 4,416,266","€ 4,416,266",K,30,Spain,Bournemouth
Guglielmo Vicario,"€ 84,928","€ 4,416,266","€ 4,416,266",K,28,Italy,Tottenham
Fraser Forster,"€ 84,928","€ 4,416,266","€ 4,416,266",K,36,England,Tottenham
Jean-Ricner Bellegarde,"€ 84,928","€ 4,416,266","€ 4,416,266",M,26,France,Wolverhampton
Ismaïla Sarr,"€ 79,266","€ 4,121,848","€ 4,121,848",F,26,Senegal,Crystal Palace
Fabian Schär,"€ 79,266","€ 4,121,848","€ 4,121,848",D,33,Switzerland,Newcastle
Jacob Ramsey,"€ 79,266","€ 4,121,848","€ 4,121,848",M,23,England,Aston Villa
Hee-chan Hwang,"€ 79,266","€ 4,121,848","€ 4,121,848",F,29,South Korea,Wolverhampton
Dan Burn,"€ 79,266","€ 4,121,848","€ 4,121,848",D,33,England,Newcastle
Cheick Doucouré,"€ 79,266","€ 4,121,848","€ 4,121,848",M,25,Mali,Crystal Palace
Pape Sarr,"€ 79,266","€ 4,121,848","€ 4,121,848",M,22,Senegal,Tottenham
Ibrahima Konaté,"€ 79,266","€ 4,121,848","€ 4,121,848",D,25,France,Liverpool
Ryan Christie,"€ 79,266","€ 4,121,848","€ 4,121,848",M,29,Scotland,Bournemouth
Joe Aribo,"€ 79,266","€ 4,121,848","€ 4,121,848",M,28,Nigeria,Southampton
Jan Bednarek,"€ 79,266","€ 4,121,848","€ 4,121,848",D,28,Poland,Southampton
Marshall Munetsi,"€ 79,266","€ 4,121,848","€ 4,121,848",M,28,Zimbabwe,Wolverhampton
Aaron Hickey,"€ 79,266","€ 4,121,848","€ 4,121,848",D,22,Scotland,Brentford
Jefferson Lerma,"€ 79,266","€ 4,121,848","€ 4,121,848",M,30,Colombia,Crystal Palace
Issa Diop,"€ 79,266","€ 4,121,848","€ 4,121,848",D,28,France,Fulham
João Félix,"€ 73,604","€ 3,827,431","€ 3,827,431",F,25,Portugal,Chelsea
Adama Traoré,"€ 73,604","€ 3,827,431","€ 3,827,431",F,29,Spain,Fulham
Maxwel Cornet,"€ 73,604","€ 3,827,431","€ 3,827,431",F,27,Cote d'Ivoire,Southampton
Timothy Castagne,"€ 73,604","€ 3,827,431","€ 3,827,431",D,29,Belgium,Fulham
Lukasz Fabianski,"€ 73,604","€ 3,827,431","€ 3,827,431",K,39,Poland,West Ham
Jonny Evans,"€ 73,604","€ 3,827,431","€ 3,827,431",D,37,Northern Ireland,Manchester United
Luis Sinisterra,"€ 73,604","€ 3,827,431","€ 3,827,431",F,25,Colombia,Bournemouth
Saša Lukić,"€ 71,340","€ 3,709,663","€ 3,709,663",M,28,Serbia,Fulham
Antony,"€ 67,943","€ 3,533,013","€ 3,533,013",F,24,Brazil,Manchester United
Giorgi Mamardashvili,"€ 67,943","€ 3,533,013","€ 3,533,013",K,24,Georgia,Liverpool
José Sá,"€ 67,943","€ 3,533,013","€ 3,533,013",K,32,Portugal,Wolverhampton
André Trindade,"€ 67,943","€ 3,533,013","€ 3,533,013",M,23,Brazil,Wolverhampton
Ross Barkley,"€ 67,943","€ 3,533,013","€ 3,533,013",M,31,England,Aston Villa
Lewis Cook,"€ 67,943","€ 3,533,013","€ 3,533,013",M,28,England,Bournemouth
Tyler Adams,"€ 67,943","€ 3,533,013","€ 3,533,013",M,25,United States,Bournemouth
Danny Welbeck,"€ 67,943","€ 3,533,013","€ 3,533,013",F,34,England,Brighton
James Milner,"€ 67,943","€ 3,533,013","€ 3,533,013",M,39,England,Brighton
Mats Wieffer,"€ 67,943","€ 3,533,013","€ 3,533,013",M,25,Netherlands,Brighton
Robert Sánchez,"€ 67,943","€ 3,533,013","€ 3,533,013",K,27,Spain,Chelsea
Daniel Muñoz,"€ 67,943","€ 3,533,013","€ 3,533,013",D,28,Colombia,Crystal Palace
Nick Pope,"€ 67,943","€ 3,533,013","€ 3,533,013",K,32,England,Newcastle
Miguel Almirón,"€ 67,943","€ 3,533,013","€ 3,533,013",F,30,Paraguay,Newcastle
Will Hughes,"€ 67,943","€ 3,533,013","€ 3,533,013",M,29,England,Crystal Palace
Emile Smith Rowe,"€ 67,943","€ 3,533,013","€ 3,533,013",F,24,England,Fulham
Jannik Vestergaard,"€ 67,943","€ 3,533,013","€ 3,533,013",D,32,Denmark,Leicester
Nico González,"€ 67,943","€ 3,533,013","€ 3,533,013",M,23,Spain,Manchester City
Jakub Kiwior,"€ 65,678","€ 3,415,246","€ 3,415,246",D,24,Poland,Arsenal
Vitaliy Mykolenko,"€ 65,678","€ 3,415,246","€ 3,415,246",D,25,Ukraine,Everton
Emil Krafth,"€ 62,281","€ 3,238,595","€ 3,238,595",D,30,Sweden,Newcastle
Ben Mee,"€ 62,281","€ 3,238,595","€ 3,238,595",D,35,England,Brentford
Chris Richards,"€ 62,281","€ 3,238,595","€ 3,238,595",D,24,United States,Crystal Palace
Luis Díaz,"€ 62,281","€ 3,238,595","€ 3,238,595",F,28,Colombia,Liverpool
Boubacar Traoré,"€ 62,281","€ 3,238,595","€ 3,238,595",M,23,Mali,Wolverhampton
Lucas Bergvall,"€ 62,281","€ 3,238,595","€ 3,238,595",M,19,Sweden,Tottenham
Adam Webster,"€ 62,281","€ 3,238,595","€ 3,238,595",D,30,England,Brighton
Sander Berge,"€ 62,281","€ 3,238,595","€ 3,238,595",M,26,Norway,Fulham
Séamus Coleman,"€ 62,281","€ 3,238,595","€ 3,238,595",D,36,Ireland,Everton
Yves Bissouma,"€ 62,281","€ 3,238,595","€ 3,238,595",M,28,Mali,Tottenham
Sergio Reguilón,"€ 60,016","€ 3,120,828","€ 3,120,828",D,28,Spain,Tottenham
Carney Chukwuemeka,"€ 56,619","€ 2,944,177","€ 2,944,177",M,20,England,Chelsea
Oscar Bobb,"€ 56,619","€ 2,944,177","€ 2,944,177",F,21,Norway,Manchester City
Sean Longstaff,"€ 56,619","€ 2,944,177","€ 2,944,177",M,27,England,Newcastle
Antoine Semenyo,"€ 56,619","€ 2,944,177","€ 2,944,177",F,25,Ghana,Bournemouth
David Brooks,"€ 56,619","€ 2,944,177","€ 2,944,177",F,27,Wales,Bournemouth
Odysseas Vlachodimos,"€ 56,619","€ 2,944,177","€ 2,944,177",K,30,Greece,Newcastle
Sam Johnstone,"€ 56,619","€ 2,944,177","€ 2,944,177",K,31,England,Wolverhampton
Ilya Zabarnyi,"€ 56,619","€ 2,944,177","€ 2,944,177",D,22,Ukraine,Bournemouth
Konstantinos Mavropanos,"€ 56,619","€ 2,944,177","€ 2,944,177",D,27,Greece,West Ham
Marc Guéhi,"€ 56,619","€ 2,944,177","€ 2,944,177",D,24,England,Crystal Palace
Marcos Senesi,"€ 56,619","€ 2,944,177","€ 2,944,177",D,27,Argentina,Bournemouth
Alejandro Garnacho,"€ 56,619","€ 2,944,177","€ 2,944,177",F,20,Argentina,Manchester United
Maxence Lacroix,"€ 56,619","€ 2,944,177","€ 2,944,177",D,24,France,Crystal Palace
Ryan Yates,"€ 56,619","€ 2,944,177","€ 2,944,177",M,27,England,Nottingham Forest
Nathaniel Clyne,"€ 56,619","€ 2,944,177","€ 2,944,177",D,34,England,Crystal Palace
Igor Thiago,"€ 56,619","€ 2,944,177","€ 2,944,177",F,23,Brazil,Brentford
Taiwo Awoniyi,"€ 56,619","€ 2,944,177","€ 2,944,177",F,27,Nigeria,Nottingham Forest
Aaron Cresswell,"€ 56,619","€ 2,944,177","€ 2,944,177",D,35,England,West Ham
Trevoh Chalobah,"€ 56,619","€ 2,944,177","€ 2,944,177",D,25,England,Crystal Palace
Wataru Endo,"€ 56,619","€ 2,944,177","€ 2,944,177",M,31,Japan,Liverpool
Keane Lewis-Potter,"€ 56,619","€ 2,944,177","€ 2,944,177",F,23,England,Brentford
Mathias Jensen,"€ 56,619","€ 2,944,177","€ 2,944,177",M,29,Denmark,Brentford
Willian,"€ 56,619","€ 2,944,177","€ 2,944,177",F,36,Brazil,Fulham
Beto,"€ 56,619","€ 2,944,177","€ 2,944,177",F,27,Guinea-Bissau,Everton
Marc Guiu,"€ 56,619","€ 2,944,177","€ 2,944,177",F,19,Spain,Chelsea
