,EST. BASE SALARY,EST. BASE SALARY,EST. BASE SALARY,BIO,BIO,BIO,
PLAYER,"GROSS P/W
(EUR)","GROSS P/Y
(EUR)","ADJ. GROSS
(EUR)",POS.,AGE,COUNTRY,CLUB
Erling Haaland,"€ 594,497","€ 30,913,862","€ 30,913,862",F,24,Norway,Manchester City
Mohamed Salah,"€ 452,950","€ 23,553,419","€ 23,553,419",F,32,Egypt,Liverpool
Kevin De Bruyne,"€ 452,950","€ 23,553,419","€ 23,553,419",F,33,Belgium,Manchester City
Virgil van Dijk,"€ 396,332","€ 20,609,241","€ 20,609,241",D,33,Netherlands,Liverpool
Casemiro,"€ 396,332","€ 20,609,241","€ 20,609,241",M,32,Brazil,Manchester United
Bernardo Silva,"€ 339,713","€ 17,665,064","€ 17,665,064",F,30,Portugal,Manchester City
Bruno Fernandes,"€ 339,713","€ 17,665,064","€ 17,665,064",F,30,Portugal,Manchester United
Jack Grealish,"€ 339,713","€ 17,665,064","€ 17,665,064",F,29,England,Manchester City
Omar Marmoush,"€ 334,051","€ 17,370,646","€ 17,370,646",F,25,Egypt,Manchester City
Kai Havertz,"€ 317,065","€ 16,487,393","€ 16,487,393",F,25,Germany,Arsenal
Gabriel Jesus,"€ 300,080","€ 15,604,140","€ 15,604,140",F,27,Brazil,Arsenal
John Stones,"€ 283,094","€ 14,720,887","€ 14,720,887",D,30,England,Manchester City
Reece James,"€ 283,094","€ 14,720,887","€ 14,720,887",D,25,England,Chelsea
Martin Ødegaard,"€ 271,770","€ 14,132,051","€ 14,132,051",F,26,Norway,Arsenal
Declan Rice,"€ 271,770","€ 14,132,051","€ 14,132,051",M,26,England,Arsenal
İlkay Gündoğan,"€ 260,446","€ 13,543,216","€ 13,543,216",M,34,Germany,Manchester City
Phil Foden,"€ 254,785","€ 13,248,798","€ 13,248,798",F,24,England,Manchester City
Marcus Rashford,"€ 254,785","€ 13,248,798","€ 13,248,798",F,27,England,Aston Villa
Rodri,"€ 249,123","€ 12,954,380","€ 12,954,380",M,28,Spain,Manchester City
Raheem Sterling,"€ 243,461","€ 12,659,963","€ 12,659,963",F,29,England,Chelsea
Mason Mount,"€ 226,475","€ 11,776,709","€ 11,776,709",F,26,England,Manchester United
Thomas Partey,"€ 226,475","€ 11,776,709","€ 11,776,709",M,31,Ghana,Arsenal
Josko Gvardiol,"€ 226,475","€ 11,776,709","€ 11,776,709",D,23,Croatia,Manchester City
Wesley Fofana,"€ 226,475","€ 11,776,709","€ 11,776,709",D,24,France,Chelsea
Matthijs de Ligt,"€ 220,813","€ 11,482,292","€ 11,482,292",D,25,Netherlands,Manchester United
Bukayo Saka,"€ 220,813","€ 11,482,292","€ 11,482,292",F,23,England,Arsenal
Christopher Nkunku,"€ 220,813","€ 11,482,292","€ 11,482,292",F,27,France,Chelsea
Heung-min Son,"€ 215,151","€ 11,187,874","€ 11,187,874",F,32,South Korea,Tottenham
William Saliba,"€ 215,151","€ 11,187,874","€ 11,187,874",D,23,France,Arsenal
Harry Maguire,"€ 215,151","€ 11,187,874","€ 11,187,874",D,31,England,Manchester United
Trent Alexander-Arnold,"€ 203,828","€ 10,599,038","€ 10,599,038",D,26,England,Liverpool
Gabriel Martinelli,"€ 203,828","€ 10,599,038","€ 10,599,038",F,23,Brazil,Arsenal
Manuel Akanji,"€ 203,828","€ 10,599,038","€ 10,599,038",D,29,Switzerland,Manchester City
Rúben Dias,"€ 203,828","€ 10,599,038","€ 10,599,038",D,27,Portugal,Manchester City
Enzo Fernández,"€ 203,828","€ 10,599,038","€ 10,599,038",M,24,Argentina,Chelsea
Marc Cucurella,"€ 198,166","€ 10,304,621","€ 10,304,621",D,26,Spain,Chelsea
James Maddison,"€ 192,504","€ 10,010,203","€ 10,010,203",F,28,England,Tottenham
Cristian Romero,"€ 186,842","€ 9,715,785","€ 9,715,785",D,26,Argentina,Tottenham
Timo Werner,"€ 186,842","€ 9,715,785","€ 9,715,785",F,28,Germany,Tottenham
