,EST. BASE SALARY,EST. BASE SALARY,EST. BASE SALARY,BIO,BIO,BIO,
PLAYER,"GROSS P/W
(EUR)","GROSS P/Y
(EUR)","ADJ. GROSS
(EUR)",POS.,AGE,COUNTRY,CLUB
Cristiano Ronaldo,"€ 583,174","€ 30,325,027","€ 30,325,027",F,37,Portugal,Manchester United
Kevin De Bruyne,"€ 452,950","€ 23,553,419","€ 23,553,419",F,31,Belgium,Manchester City
David de Gea,"€ 424,641","€ 22,081,330","€ 22,081,330",K,32,Spain,Manchester United
Erling Haaland,"€ 424,641","€ 22,081,330","€ 22,081,330",F,22,Norway,Manchester City
Casemiro,"€ 396,332","€ 20,609,241","€ 20,609,241",M,30,Brazil,Manchester United
Mohamed Salah,"€ 396,332","€ 20,609,241","€ 20,609,241",F,30,Egypt,Liverpool
Raphaël Varane,"€ 385,008","€ 20,020,406","€ 20,020,406",D,29,France,Manchester United
Raheem Sterling,"€ 368,022","€ 19,137,153","€ 19,137,153",F,28,England,Chelsea
Jack Grealish,"€ 339,713","€ 17,665,064","€ 17,665,064",F,27,England,Manchester City
Kalidou Koulibaly,"€ 334,051","€ 17,370,646","€ 17,370,646",D,31,Senegal,Chelsea
N'Golo Kanté,"€ 328,389","€ 17,076,229","€ 17,076,229",M,31,France,Chelsea
Gabriel Jesus,"€ 300,080","€ 15,604,140","€ 15,604,140",F,25,Brazil,Arsenal
Anthony Martial,"€ 283,094","€ 14,720,887","€ 14,720,887",F,27,France,Manchester United
Kai Havertz,"€ 283,094","€ 14,720,887","€ 14,720,887",F,23,Germany,Chelsea
Jadon Sancho,"€ 283,094","€ 14,720,887","€ 14,720,887",F,22,England,Manchester United
John Stones,"€ 283,094","€ 14,720,887","€ 14,720,887",D,28,England,Manchester City
João Cancelo,"€ 283,094","€ 14,720,887","€ 14,720,887",D,28,Portugal,Manchester City
Reece James,"€ 283,094","€ 14,720,887","€ 14,720,887",D,23,England,Chelsea
Bruno Fernandes,"€ 271,770","€ 14,132,051","€ 14,132,051",F,28,Portugal,Manchester United
Phil Foden,"€ 254,785","€ 13,248,798","€ 13,248,798",M,22,England,Manchester City
Virgil van Dijk,"€ 249,123","€ 12,954,380","€ 12,954,380",D,31,Netherlands,Liverpool
Rodri,"€ 249,123","€ 12,954,380","€ 12,954,380",M,26,Spain,Manchester City
Marcel Sabitzer,"€ 237,799","€ 12,365,545","€ 12,365,545",M,28,Austria,Manchester United
