,EST. BASE SALARY,EST. BASE SALARY,EST. BASE SALARY,BIO,BIO,BIO,
Marcus Rashford,"€ 226,475","€ 11,776,709","€ 11,776,709",F,25,England,Manchester United
Wesley Fofana,"€ 226,475","€ 11,776,709","€ 11,776,709",D,22,France,Chelsea
Thomas Partey,"€ 226,475","€ 11,776,709","€ 11,776,709",M,29,Ghana,Arsenal
Jordan Henderson,"€ 226,475","€ 11,776,709","€ 11,776,709",M,32,England,Liverpool
Ben Chilwell,"€ 226,475","€ 11,776,709","€ 11,776,709",D,26,England,Chelsea
Harry Kane,"€ 226,475","€ 11,776,709","€ 11,776,709",F,29,England,Tottenham
Thiago,"€ 226,475","€ 11,776,709","€ 11,776,709",M,31,Spain,Liverpool
João Félix,"€ 220,813","€ 11,482,292","€ 11,482,292",F,23,Portugal,Chelsea
Bukayo Saka,"€ 220,813","€ 11,482,292","€ 11,482,292",M,21,England,Arsenal
Harry Maguire,"€ 215,151","€ 11,187,874","€ 11,187,874",D,29,England,Manchester United
Heung-min Son,"€ 215,151","€ 11,187,874","€ 11,187,874",F,30,South Korea,Tottenham
Roberto Firmino,"€ 203,828","€ 10,599,038","€ 10,599,038",F,31,Brazil,Liverpool
Gabriel Martinelli,"€ 203,828","€ 10,599,038","€ 10,599,038",F,21,Brazil,Arsenal
Enzo Fernández,"€ 203,828","€ 10,599,038","€ 10,599,038",M,22,Argentina,Chelsea
César Azpilicueta,"€ 203,828","€ 10,599,038","€ 10,599,038",D,33,Spain,Chelsea
Manuel Akanji,"€ 203,828","€ 10,599,038","€ 10,599,038",D,27,Switzerland,Manchester City
Ivan Perisic,"€ 203,828","€ 10,599,038","€ 10,599,038",M,33,Croatia,Tottenham
Trent Alexander-Arnold,"€ 203,828","€ 10,599,038","€ 10,599,038",D,24,England,Liverpool
Rúben Dias,"€ 203,828","€ 10,599,038","€ 10,599,038",D,25,Portugal,Manchester City
Fabinho,"€ 203,828","€ 10,599,038","€ 10,599,038",M,29,Brazil,Liverpool
Marc Cucurella,"€ 198,166","€ 10,304,621","€ 10,304,621",D,24,Spain,Chelsea
Cristian Romero,"€ 186,842","€ 9,715,785","€ 9,715,785",D,24,Argentina,Tottenham
Kyle Walker,"€ 181,180","€ 9,421,367","€ 9,421,367",D,32,England,Manchester City
Riyad Mahrez,"€ 181,180","€ 9,421,367","€ 9,421,367",F,31,Algeria,Manchester City
Pierre-Emerick Aubameyang,"€ 181,180","€ 9,421,367","€ 9,421,367",F,33,Gabon,Chelsea
Andrew Robertson,"€ 181,180","€ 9,421,367","€ 9,421,367",D,28,Scotland,Liverpool
Oleksandr Zinchenko,"€ 169,856","€ 8,832,532","€ 8,832,532",D,26,Ukraine,Arsenal
Lucas Paquetá,"€ 169,856","€ 8,832,532","€ 8,832,532",F,25,Brazil,West Ham
Alisson,"€ 169,856","€ 8,832,532","€ 8,832,532",K,30,Brazil,Liverpool
Bernardo Silva,"€ 169,856","€ 8,832,532","€ 8,832,532",F,28,Portugal,Manchester City
Christian Pulisic,"€ 169,856","€ 8,832,532","€ 8,832,532",F,24,United States,Chelsea
Kepa Arrizabalaga,"€ 169,856","€ 8,832,532","€ 8,832,532",K,28,Spain,Chelsea
Christian Eriksen,"€ 169,856","€ 8,832,532","€ 8,832,532",M,30,Denmark,Manchester United
Kalvin Phillips,"€ 169,856","€ 8,832,532","€ 8,832,532",M,27,England,Manchester City
Luke Shaw,"€ 169,856","€ 8,832,532","€ 8,832,532",D,27,England,Manchester United
Clément Lenglet,"€ 164,195","€ 8,538,114","€ 8,538,114",D,27,France,Tottenham
Jamie Vardy,"€ 158,533","€ 8,243,697","€ 8,243,697",F,36,England,Leicester
Darwin Núñez,"€ 158,533","€ 8,243,697","€ 8,243,697",F,23,Uruguay,Liverpool
Diogo Jota,"€ 158,533","€ 8,243,697","€ 8,243,697",F,26,Portugal,Liverpool
Ilkay Gündogan,"€ 158,533","€ 8,243,697","€ 8,243,697",M,32,Germany,Manchester City
Wilfried Zaha,"€ 147,209","€ 7,654,861","€ 7,654,861",F,30,Cote d'Ivoire,Crystal Palace
Kurt Zouma,"€ 141,547","€ 7,360,443","€ 7,360,443",D,28,France,West Ham
Danny Ings,"€ 141,547","€ 7,360,443","€ 7,360,443",F,30,England,West Ham
Philippe Coutinho,"€ 141,547","€ 7,360,443","€ 7,360,443",F,30,Brazil,Aston Villa
Jordan Pickford,"€ 141,547","€ 7,360,443","€ 7,360,443",K,28,England,Everton
Abdoulaye Doucouré,"€ 135,885","€ 7,066,026","€ 7,066,026",M,30,Mali,Everton
Cody Gakpo,"€ 135,885","€ 7,066,026","€ 7,066,026",F,23,Netherlands,Liverpool
Danny Ings,"€ 135,885","€ 7,066,026","€ 7,066,026",F,30,England,Aston Villa
Emiliano Martínez,"€ 135,885","€ 7,066,026","€ 7,066,026",K,30,Argentina,Aston Villa
Yerry Mina,"€ 135,885","€ 7,066,026","€ 7,066,026",D,28,Colombia,Everton
Kieran Trippier,"€ 135,885","€ 7,066,026","€ 7,066,026",D,32,England,Newcastle
Fred,"€ 135,885","€ 7,066,026","€ 7,066,026",M,29,Brazil,Manchester United
Lucas Digne,"€ 135,885","€ 7,066,026","€ 7,066,026",D,29,France,Aston Villa
Idrissa Gueye,"€ 135,885","€ 7,066,026","€ 7,066,026",M,33,Senegal,Everton
John McGinn,"€ 135,885","€ 7,066,026","€ 7,066,026",M,28,Scotland,Aston Villa
Donny van de Beek,"€ 135,885","€ 7,066,026","€ 7,066,026",M,25,Netherlands,Manchester United
Bruno Guimarães,"€ 135,885","€ 7,066,026","€ 7,066,026",M,25,Brazil,Newcastle
Alex Oxlade-Chamberlain,"€ 135,885","€ 7,066,026","€ 7,066,026",M,29,England,Liverpool
Victor Lindelöf,"€ 135,885","€ 7,066,026","€ 7,066,026",D,28,Sweden,Manchester United
Ruben Loftus-Cheek,"€ 135,885","€ 7,066,026","€ 7,066,026",M,27,England,Chelsea
Ben White,"€ 135,885","€ 7,066,026","€ 7,066,026",D,25,England,Arsenal
Alphonse Areola,"€ 135,885","€ 7,066,026","€ 7,066,026",K,29,France,West Ham
Naby Keïta,"€ 135,885","€ 7,066,026","€ 7,066,026",M,27,Guinea,Liverpool
Aymeric Laporte,"€ 135,885","€ 7,066,026","€ 7,066,026",D,28,Spain,Manchester City
Boubacar Kamara,"€ 135,885","€ 7,066,026","€ 7,066,026",M,23,France,Aston Villa
Granit Xhaka,"€ 135,885","€ 7,066,026","€ 7,066,026",M,30,Switzerland,Arsenal
Aaron Ramsdale,"€ 135,885","€ 7,066,026","€ 7,066,026",K,25,England,Arsenal
Lisandro Martínez,"€ 135,885","€ 7,066,026","€ 7,066,026",D,25,Argentina,Manchester United
Alexander Isak,"€ 135,885","€ 7,066,026","€ 7,066,026",F,23,Sweden,Newcastle
Martin Ødegaard,"€ 130,223","€ 6,771,608","€ 6,771,608",F,24,Norway,Arsenal
Kieran Tierney,"€ 124,561","€ 6,477,190","€ 6,477,190",D,25,Scotland,Arsenal
Thiago Silva,"€ 124,561","€ 6,477,190","€ 6,477,190",D,38,Brazil,Chelsea
Dejan Kulusevski,"€ 124,561","€ 6,477,190","€ 6,477,190",F,22,Sweden,Tottenham
Jorginho,"€ 124,561","€ 6,477,190","€ 6,477,190",M,30,Italy,Chelsea
James Maddison,"€ 124,561","€ 6,477,190","€ 6,477,190",F,26,England,Leicester
Arthur,"€ 124,561","€ 6,477,190","€ 6,477,190",M,26,Brazil,Liverpool
Jorginho,"€ 124,561","€ 6,477,190","€ 6,477,190",M,31,Italy,Arsenal
Antony,"€ 118,899","€ 6,182,772","€ 6,182,772",F,22,Brazil,Manchester United
João Moutinho,"€ 113,238","€ 5,888,355","€ 5,888,355",M,36,Portugal,Wolverhampton
Leon Bailey,"€ 113,238","€ 5,888,355","€ 5,888,355",F,25,Jamaica,Aston Villa
Joel Matip,"€ 113,238","€ 5,888,355","€ 5,888,355",D,31,Cameroon,Liverpool
Eddie Nketiah,"€ 113,238","€ 5,888,355","€ 5,888,355",F,23,England,Arsenal
Pierre-Emile Höjbjerg,"€ 113,238","€ 5,888,355","€ 5,888,355",M,27,Denmark,Tottenham
Hugo Lloris,"€ 113,238","€ 5,888,355","€ 5,888,355",K,36,France,Tottenham
James Ward-Prowse,"€ 113,238","€ 5,888,355","€ 5,888,355",M,28,England,Southampton
Ederson,"€ 113,238","€ 5,888,355","€ 5,888,355",K,29,Brazil,Manchester City
Jonny Evans,"€ 113,238","€ 5,888,355","€ 5,888,355",D,35,Northern Ireland,Leicester
Gabriel Magalhães,"€ 113,238","€ 5,888,355","€ 5,888,355",D,25,Brazil,Arsenal
Diego Carlos,"€ 113,238","€ 5,888,355","€ 5,888,355",D,29,Brazil,Aston Villa
Carney Chukwuemeka,"€ 113,238","€ 5,888,355","€ 5,888,355",M,19,England,Chelsea
Hakim Ziyech,"€ 113,238","€ 5,888,355","€ 5,888,355",F,29,Morocco,Chelsea
Mateo Kovacic,"€ 113,238","€ 5,888,355","€ 5,888,355",M,28,Croatia,Chelsea
Mykhailo Mudryk,"€ 113,238","€ 5,888,355","€ 5,888,355",F,22,Ukraine,Chelsea
Dean Henderson,"€ 113,238","€ 5,888,355","€ 5,888,355",K,25,England,Nottingham Forest
Amadou Onana,"€ 113,238","€ 5,888,355","€ 5,888,355",M,21,Belgium,Everton
Julián Álvarez,"€ 113,238","€ 5,888,355","€ 5,888,355",F,23,Argentina,Manchester City
Rodrigo,"€ 113,238","€ 5,888,355","€ 5,888,355",F,31,Spain,Leeds
Dominic Calvert-Lewin,"€ 113,238","€ 5,888,355","€ 5,888,355",F,25,England,Everton
Raúl Jiménez,"€ 113,238","€ 5,888,355","€ 5,888,355",F,31,Mexico,Wolverhampton
Matt Targett,"€ 113,238","€ 5,888,355","€ 5,888,355",D,27,England,Newcastle
James Tarkowski,"€ 113,238","€ 5,888,355","€ 5,888,355",D,30,England,Everton
Tyrone Mings,"€ 113,238","€ 5,888,355","€ 5,888,355",D,29,England,Aston Villa
Emerson,"€ 107,576","€ 5,593,937","€ 5,593,937",D,28,Italy,West Ham
Sven Botman,"€ 101,914","€ 5,299,519","€ 5,299,519",D,23,Netherlands,Newcastle
Odsonne Edouard,"€ 101,914","€ 5,299,519","€ 5,299,519",F,25,France,Crystal Palace
Adam Lallana,"€ 101,914","€ 5,299,519","€ 5,299,519",F,34,England,Brighton
Aaron Wan-Bissaka,"€ 101,914","€ 5,299,519","€ 5,299,519",D,25,England,Manchester United
Benoît Badiashile,"€ 101,914","€ 5,299,519","€ 5,299,519",D,21,France,Chelsea
Lucas Moura,"€ 101,914","€ 5,299,519","€ 5,299,519",F,30,Brazil,Tottenham
Denis Zakaria,"€ 101,914","€ 5,299,519","€ 5,299,519",M,26,Switzerland,Chelsea
Richarlison,"€ 101,914","€ 5,299,519","€ 5,299,519",F,25,Brazil,Tottenham
Pablo Sarabia,"€ 101,914","€ 5,299,519","€ 5,299,519",F,30,Spain,Wolverhampton
Benjamin Mendy,"€ 101,914","€ 5,299,519","€ 5,299,519",D,28,France,Manchester City
Nathan Aké,"€ 101,914","€ 5,299,519","€ 5,299,519",D,27,Netherlands,Manchester City
Layvin Kurzawa,"€ 101,914","€ 5,299,519","€ 5,299,519",D,30,France,Fulham
Bernd Leno,"€ 101,914","€ 5,299,519","€ 5,299,519",K,30,Germany,Fulham
Jack Harrison,"€ 101,914","€ 5,299,519","€ 5,299,519",F,26,England,Leeds
Leander Dendoncker,"€ 101,914","€ 5,299,519","€ 5,299,519",M,27,Belgium,Aston Villa
Keylor Navas,"€ 101,914","€ 5,299,519","€ 5,299,519",K,36,Costa Rica,Nottingham Forest
Gonçalo Guedes,"€ 101,914","€ 5,299,519","€ 5,299,519",F,25,Portugal,Wolverhampton
Leandro Trossard,"€ 101,914","€ 5,299,519","€ 5,299,519",F,28,Belgium,Arsenal
Gianluca Scamacca,"€ 101,914","€ 5,299,519","€ 5,299,519",F,24,Italy,West Ham
Diogo Dalot,"€ 96,252","€ 5,005,101","€ 5,005,101",D,24,Portugal,Manchester United
Pedro Porro,"€ 96,252","€ 5,005,101","€ 5,005,101",D,23,Spain,Tottenham
Matheus Nunes,"€ 96,252","€ 5,005,101","€ 5,005,101",M,24,Portugal,Wolverhampton
Eric Dier,"€ 96,252","€ 5,005,101","€ 5,005,101",D,29,England,Tottenham
Joelinton,"€ 96,252","€ 5,005,101","€ 5,005,101",F,26,Brazil,Newcastle
Joe Gomez,"€ 96,252","€ 5,005,101","€ 5,005,101",D,25,England,Liverpool
Michail Antonio,"€ 96,252","€ 5,005,101","€ 5,005,101",F,32,Jamaica,West Ham
Jesse Lingard,"€ 90,590","€ 4,710,684","€ 4,710,684",F,30,England,Nottingham Forest
Chris Wood,"€ 90,590","€ 4,710,684","€ 4,710,684",F,30,New Zealand,Newcastle
Chris Wood,"€ 90,590","€ 4,710,684","€ 4,710,684",F,31,New Zealand,Nottingham Forest
Joe Willock,"€ 90,590","€ 4,710,684","€ 4,710,684",M,23,England,Newcastle
Joachim Andersen,"€ 90,590","€ 4,710,684","€ 4,710,684",D,26,Denmark,Crystal Palace
Felipe,"€ 90,590","€ 4,710,684","€ 4,710,684",D,33,Brazil,Nottingham Forest
Mislav Orsic,"€ 90,590","€ 4,710,684","€ 4,710,684",F,30,Croatia,Southampton
Morgan Gibbs-White,"€ 90,590","€ 4,710,684","€ 4,710,684",F,23,England,Nottingham Forest
Mason Mount,"€ 90,590","€ 4,710,684","€ 4,710,684",F,24,England,Chelsea
Nathaniel Clyne,"€ 90,590","€ 4,710,684","€ 4,710,684",D,31,England,Crystal Palace
Ricardo Pereira,"€ 90,590","€ 4,710,684","€ 4,710,684",D,29,Portugal,Leicester
Salomón Rondón,"€ 90,590","€ 4,710,684","€ 4,710,684",F,32,Venezuela,Everton
Thilo Kehrer,"€ 90,590","€ 4,710,684","€ 4,710,684",D,26,Germany,West Ham
Boubakary Soumaré,"€ 90,590","€ 4,710,684","€ 4,710,684",M,23,France,Leicester
Michael Keane,"€ 90,590","€ 4,710,684","€ 4,710,684",D,30,England,Everton
Ryan Bertrand,"€ 90,590","€ 4,710,684","€ 4,710,684",D,33,England,Leicester
Matty Cash,"€ 90,590","€ 4,710,684","€ 4,710,684",D,25,Poland,Aston Villa
Kelechi Iheanacho,"€ 90,590","€ 4,710,684","€ 4,710,684",F,26,Nigeria,Leicester
Ben Davies,"€ 90,590","€ 4,710,684","€ 4,710,684",D,29,Wales,Tottenham
Nélson Semedo,"€ 90,590","€ 4,710,684","€ 4,710,684",D,29,Portugal,Wolverhampton
Aleksandar Mitrovic,"€ 90,590","€ 4,710,684","€ 4,710,684",F,28,Serbia,Fulham
Bertrand Traoré,"€ 88,195","€ 4,586,122","€ 4,586,122",F,27,Burkina Faso,Aston Villa
Dennis Praet,"€ 84,928","€ 4,416,266","€ 4,416,266",M,28,Belgium,Leicester
Jonjo Shelvey,"€ 84,928","€ 4,416,266","€ 4,416,266",M,30,England,Nottingham Forest
Fraser Forster,"€ 84,928","€ 4,416,266","€ 4,416,266",K,34,England,Tottenham
Vicente Guaita,"€ 84,928","€ 4,416,266","€ 4,416,266",K,36,Spain,Crystal Palace
Lewis Dunk,"€ 84,928","€ 4,416,266","€ 4,416,266",D,31,England,Brighton
Cédric Soares,"€ 84,928","€ 4,416,266","€ 4,416,266",D,31,Portugal,Fulham
Rodrigo Bentancur,"€ 84,928","€ 4,416,266","€ 4,416,266",M,25,Uruguay,Tottenham
Phil Jones,"€ 84,928","€ 4,416,266","€ 4,416,266",D,30,England,Manchester United
Weston McKennie,"€ 84,928","€ 4,416,266","€ 4,416,266",M,24,United States,Leeds
Patson Daka,"€ 84,928","€ 4,416,266","€ 4,416,266",F,24,Zambia,Leicester
Luka Milivojevic,"€ 84,928","€ 4,416,266","€ 4,416,266",M,31,Serbia,Crystal Palace
Wilfred Ndidi,"€ 84,928","€ 4,416,266","€ 4,416,266",M,26,Nigeria,Leicester
Cédric Soares,"€ 84,928","€ 4,416,266","€ 4,416,266",D,31,Portugal,Arsenal
Theo Walcott,"€ 84,928","€ 4,416,266","€ 4,416,266",F,33,England,Southampton
Ollie Watkins,"€ 84,928","€ 4,416,266","€ 4,416,266",F,27,England,Aston Villa
Mason Greenwood,"€ 84,928","€ 4,416,266","€ 4,416,266",F,21,England,Manchester United
Tyrell Malacia,"€ 84,928","€ 4,416,266","€ 4,416,266",D,23,Netherlands,Manchester United
Ben Godfrey,"€ 84,928","€ 4,416,266","€ 4,416,266",D,25,England,Everton
Douglas Luiz,"€ 84,928","€ 4,416,266","€ 4,416,266",M,24,Brazil,Aston Villa
Emiliano Buendía,"€ 84,928","€ 4,416,266","€ 4,416,266",F,26,Argentina,Aston Villa
Jacob Ramsey,"€ 79,266","€ 4,121,848","€ 4,121,848",M,21,England,Aston Villa
Jonjo Shelvey,"€ 79,266","€ 4,121,848","€ 4,121,848",M,30,England,Newcastle
Jannik Vestergaard,"€ 79,266","€ 4,121,848","€ 4,121,848",D,30,Denmark,Leicester
Issa Diop,"€ 79,266","€ 4,121,848","€ 4,121,848",D,26,France,Fulham
Georginio Rutter,"€ 79,266","€ 4,121,848","€ 4,121,848",F,20,France,Leeds
Angelo Ogbonna,"€ 79,266","€ 4,121,848","€ 4,121,848",D,34,Italy,West Ham
Aaron Hickey,"€ 79,266","€ 4,121,848","€ 4,121,848",D,20,Scotland,Brentford
Allan Saint-Maximin,"€ 79,266","€ 4,121,848","€ 4,121,848",F,25,France,Newcastle
Alex Iwobi,"€ 79,266","€ 4,121,848","€ 4,121,848",F,26,Nigeria,Everton
Manuel Lanzini,"€ 79,266","€ 4,121,848","€ 4,121,848",F,29,Argentina,West Ham
Ibrahima Konaté,"€ 79,266","€ 4,121,848","€ 4,121,848",D,23,France,Liverpool
Mason Holgate,"€ 79,266","€ 4,121,848","€ 4,121,848",D,26,England,Everton
Patrick Bamford,"€ 79,266","€ 4,121,848","€ 4,121,848",F,29,England,Leeds
Joe Aribo,"€ 79,266","€ 4,121,848","€ 4,121,848",F,26,Nigeria,Southampton
Lukasz Fabianski,"€ 73,604","€ 3,827,431","€ 3,827,431",K,37,Poland,West Ham
Tomas Soucek,"€ 73,604","€ 3,827,431","€ 3,827,431",M,27,Czech Republic,West Ham
Matt Doherty,"€ 73,604","€ 3,827,431","€ 3,827,431",D,30,Ireland,Tottenham
Davinson Sánchez,"€ 73,604","€ 3,827,431","€ 3,827,431",D,26,Colombia,Tottenham
Pablo Fornals,"€ 73,604","€ 3,827,431","€ 3,827,431",F,26,Spain,West Ham
Timothy Castagne,"€ 73,604","€ 3,827,431","€ 3,827,431",D,27,Belgium,Leicester
Maxwel Cornet,"€ 73,604","€ 3,827,431","€ 3,827,431",F,26,Cote d'Ivoire,West Ham
Pascal Groß,"€ 73,604","€ 3,827,431","€ 3,827,431",M,31,Germany,Brighton
Luis Sinisterra,"€ 73,604","€ 3,827,431","€ 3,827,431",F,23,Colombia,Leeds
Moussa Djenepo,"€ 73,604","€ 3,827,431","€ 3,827,431",F,24,Mali,Southampton
Brandon Williams,"€ 73,604","€ 3,827,431","€ 3,827,431",D,22,England,Manchester United
Nathaniel Phillips,"€ 73,604","€ 3,827,431","€ 3,827,431",D,25,England,Liverpool
Stuart Armstrong,"€ 73,604","€ 3,827,431","€ 3,827,431",M,30,Scotland,Southampton
Sasa Lukic,"€ 71,340","€ 3,709,663","€ 3,709,663",M,26,Serbia,Fulham
Renan Lodi,"€ 67,943","€ 3,533,013","€ 3,533,013",D,24,Brazil,Nottingham Forest
Moisés Caicedo,"€ 67,943","€ 3,533,013","€ 3,533,013",M,21,Ecuador,Brighton
Jan Bednarek,"€ 67,943","€ 3,533,013","€ 3,533,013",D,26,Poland,Aston Villa
Jarrod Bowen,"€ 67,943","€ 3,533,013","€ 3,533,013",F,26,England,West Ham
Nick Pope,"€ 67,943","€ 3,533,013","€ 3,533,013",K,30,England,Newcastle
Miguel Almirón,"€ 67,943","€ 3,533,013","€ 3,533,013",F,28,Paraguay,Newcastle
Junior Firpo,"€ 67,943","€ 3,533,013","€ 3,533,013",D,26,Dominican Republic,Leeds
Daniel Podence,"€ 67,943","€ 3,533,013","€ 3,533,013",F,27,Portugal,Wolverhampton
Matheus Cunha,"€ 67,943","€ 3,533,013","€ 3,533,013",F,23,Brazil,Wolverhampton
Declan Rice,"€ 67,943","€ 3,533,013","€ 3,533,013",M,24,England,West Ham
Mohamed Elyounoussi,"€ 67,943","€ 3,533,013","€ 3,533,013",F,28,Norway,Southampton
Cheick Doucouré,"€ 67,943","€ 3,533,013","€ 3,533,013",M,23,Mali,Crystal Palace
Adrián,"€ 67,943","€ 3,533,013","€ 3,533,013",K,36,Spain,Liverpool
Reiss Nelson,"€ 67,943","€ 3,533,013","€ 3,533,013",F,23,England,Arsenal
Scott McTominay,"€ 67,943","€ 3,533,013","€ 3,533,013",M,26,Scotland,Manchester United
Anthony Gordon,"€ 67,943","€ 3,533,013","€ 3,533,013",F,21,England,Newcastle
Jan Bednarek,"€ 67,943","€ 3,533,013","€ 3,533,013",D,26,Poland,Southampton
James Milner,"€ 67,943","€ 3,533,013","€ 3,533,013",M,37,England,Liverpool
Vitaliy Mykolenko,"€ 65,678","€ 3,415,246","€ 3,415,246",D,23,Ukraine,Everton
Jakub Kiwior,"€ 65,678","€ 3,415,246","€ 3,415,246",D,22,Poland,Arsenal
Stefan Ortega Moreno,"€ 62,281","€ 3,238,595","€ 3,238,595",K,30,Germany,Manchester City
Boubacar Traoré,"€ 62,281","€ 3,238,595","€ 3,238,595",M,21,Mali,Wolverhampton
Adama Traoré,"€ 62,281","€ 3,238,595","€ 3,238,595",F,27,Spain,Wolverhampton
Saïd Benrahma,"€ 62,281","€ 3,238,595","€ 3,238,595",F,27,Algeria,West Ham
Jefferson Lerma,"€ 62,281","€ 3,238,595","€ 3,238,595",M,28,Colombia,Bournemouth
Ben Mee,"€ 62,281","€ 3,238,595","€ 3,238,595",D,33,England,Brentford
Yves Bissouma,"€ 62,281","€ 3,238,595","€ 3,238,595",M,26,Mali,Tottenham
Ryan Sessegnon,"€ 62,281","€ 3,238,595","€ 3,238,595",M,22,England,Tottenham
Adam Webster,"€ 62,281","€ 3,238,595","€ 3,238,595",D,28,England,Brighton
Danny Welbeck,"€ 62,281","€ 3,238,595","€ 3,238,595",F,32,England,Brighton
Ibrahima Diallo,"€ 62,281","€ 3,238,595","€ 3,238,595",M,23,France,Southampton
Adam Armstrong,"€ 62,281","€ 3,238,595","€ 3,238,595",F,25,England,Southampton
Edouard Mendy,"€ 62,281","€ 3,238,595","€ 3,238,595",K,30,Senegal,Chelsea
Chris Richards,"€ 62,281","€ 3,238,595","€ 3,238,595",D,22,United States,Crystal Palace
Jairo Riedewald,"€ 62,281","€ 3,238,595","€ 3,238,595",M,26,Netherlands,Crystal Palace
James McArthur,"€ 62,281","€ 3,238,595","€ 3,238,595",M,35,Scotland,Crystal Palace
Conor Coady,"€ 62,281","€ 3,238,595","€ 3,238,595",D,29,England,Everton
Seamus Coleman,"€ 62,281","€ 3,238,595","€ 3,238,595",D,34,Ireland,Everton
Emil Krafth,"€ 62,281","€ 3,238,595","€ 3,238,595",D,28,Sweden,Newcastle
Dan Burn,"€ 62,281","€ 3,238,595","€ 3,238,595",D,31,England,Newcastle
Mohamed Elneny,"€ 62,281","€ 3,238,595","€ 3,238,595",M,30,Egypt,Arsenal
Tyler Adams,"€ 62,281","€ 3,238,595","€ 3,238,595",M,23,United States,Leeds
Nampalys Mendy,"€ 62,281","€ 3,238,595","€ 3,238,595",M,30,Senegal,Leicester
Takehiro Tomiyasu,"€ 62,281","€ 3,238,595","€ 3,238,595",D,24,Japan,Arsenal
Luis Díaz,"€ 62,281","€ 3,238,595","€ 3,238,595",F,26,Colombia,Liverpool
Wout Faes,"€ 56,619","€ 2,944,177","€ 2,944,177",D,24,Belgium,Leicester
Kenny Tete,"€ 56,619","€ 2,944,177","€ 2,944,177",D,27,Netherlands,Fulham
João Palhinha,"€ 56,619","€ 2,944,177","€ 2,944,177",M,27,Portugal,Fulham
Rúben Neves,"€ 56,619","€ 2,944,177","€ 2,944,177",M,25,Portugal,Wolverhampton
Daniel James,"€ 56,619","€ 2,944,177","€ 2,944,177",F,25,Wales,Fulham
Marc Roca,"€ 56,619","€ 2,944,177","€ 2,944,177",M,26,Spain,Leeds
Andreas Pereira,"€ 56,619","€ 2,944,177","€ 2,944,177",F,27,Brazil,Fulham
Neal Maupay,"€ 56,619","€ 2,944,177","€ 2,944,177",F,26,France,Everton
Pascal Struijk,"€ 56,619","€ 2,944,177","€ 2,944,177",D,23,Netherlands,Leeds
Willian,"€ 56,619","€ 2,944,177","€ 2,944,177",F,34,Brazil,Fulham
Calum Chambers,"€ 56,619","€ 2,944,177","€ 2,944,177",D,28,England,Aston Villa
Konstantinos Tsimikas,"€ 56,619","€ 2,944,177","€ 2,944,177",D,26,Greece,Liverpool
Sean Longstaff,"€ 56,619","€ 2,944,177","€ 2,944,177",M,25,England,Newcastle
Robin Olsen,"€ 56,619","€ 2,944,177","€ 2,944,177",K,33,Sweden,Aston Villa
Diego Costa,"€ 56,619","€ 2,944,177","€ 2,944,177",F,34,Spain,Wolverhampton
Sergio Gómez,"€ 56,619","€ 2,944,177","€ 2,944,177",D,22,Spain,Manchester City
