,EST. BASE SALARY,EST. BASE SALARY,EST. BASE SALARY,BIO,BIO,BIO,
Diogo Jota,"€ 158,533","€ 8,243,697","€ 8,243,697",F,27,Portugal,Liverpool
Moussa Diaby,"€ 147,209","€ 7,654,861","€ 7,654,861",F,24,France,Aston Villa
Ollie Watkins,"€ 147,209","€ 7,654,861","€ 7,654,861",F,28,England,Aston Villa
Bernd Leno,"€ 147,209","€ 7,654,861","€ 7,654,861",K,31,Germany,Fulham
Matheus Nunes,"€ 147,209","€ 7,654,861","€ 7,654,861",M,25,Portugal,Manchester City
Abdoulaye Doucouré,"€ 147,209","€ 7,654,861","€ 7,654,861",M,31,Mali,Everton
Kurt Zouma,"€ 141,547","€ 7,360,443","€ 7,360,443",D,29,France,West Ham
Jordan Pickford,"€ 141,547","€ 7,360,443","€ 7,360,443",K,29,England,Everton
Danny Ings,"€ 141,547","€ 7,360,443","€ 7,360,443",F,31,England,West Ham
Lucas Digne,"€ 135,885","€ 7,066,026","€ 7,066,026",D,30,France,Aston Villa
Leon Bailey,"€ 135,885","€ 7,066,026","€ 7,066,026",F,26,Jamaica,Aston Villa
John McGinn,"€ 135,885","€ 7,066,026","€ 7,066,026",M,29,Scotland,Aston Villa
Emiliano Martínez,"€ 135,885","€ 7,066,026","€ 7,066,026",K,31,Argentina,Aston Villa
Dominik Szoboszlai,"€ 135,885","€ 7,066,026","€ 7,066,026",M,23,Hungary,Liverpool
Boubacar Kamara,"€ 135,885","€ 7,066,026","€ 7,066,026",M,24,France,Aston Villa
Malang Sarr,"€ 135,885","€ 7,066,026","€ 7,066,026",D,25,France,Chelsea
Alphonse Areola,"€ 135,885","€ 7,066,026","€ 7,066,026",K,30,France,West Ham
Idrissa Gueye,"€ 135,885","€ 7,066,026","€ 7,066,026",M,34,Senegal,Everton
Aaron Ramsdale,"€ 135,885","€ 7,066,026","€ 7,066,026",K,25,England,Arsenal
André Onana,"€ 135,885","€ 7,066,026","€ 7,066,026",K,27,Cameroon,Manchester United
Cody Gakpo,"€ 135,885","€ 7,066,026","€ 7,066,026",F,24,Netherlands,Liverpool
Divock Origi,"€ 135,885","€ 7,066,026","€ 7,066,026",F,28,Belgium,Nottingham Forest
Kieran Trippier,"€ 135,885","€ 7,066,026","€ 7,066,026",D,33,England,Newcastle
Lisandro Martínez,"€ 135,885","€ 7,066,026","€ 7,066,026",D,26,Argentina,Manchester United
Alexander Isak,"€ 135,885","€ 7,066,026","€ 7,066,026",F,24,Sweden,Newcastle
Victor Lindelöf,"€ 135,885","€ 7,066,026","€ 7,066,026",D,29,Sweden,Manchester United
James Ward-Prowse,"€ 130,223","€ 6,771,608","€ 6,771,608",M,29,England,West Ham
André Gomes,"€ 127,175","€ 6,613,075","€ 6,613,075",M,30,Portugal,Everton
Dejan Kulusevski,"€ 124,561","€ 6,477,190","€ 6,477,190",F,23,Sweden,Tottenham
Thiago Silva,"€ 124,561","€ 6,477,190","€ 6,477,190",D,39,Brazil,Chelsea
Jorginho,"€ 124,561","€ 6,477,190","€ 6,477,190",M,32,Italy,Arsenal
Antony,"€ 118,899","€ 6,182,772","€ 6,182,772",F,23,Brazil,Manchester United
Michael Olise,"€ 113,238","€ 5,888,355","€ 5,888,355",F,22,France,Crystal Palace
Amadou Onana,"€ 113,238","€ 5,888,355","€ 5,888,355",M,22,Belgium,Everton
James Tarkowski,"€ 113,238","€ 5,888,355","€ 5,888,355",D,31,England,Everton
Dele Alli,"€ 113,238","€ 5,888,355","€ 5,888,355",F,27,England,Everton
Dominic Calvert-Lewin,"€ 113,238","€ 5,888,355","€ 5,888,355",F,26,England,Everton
Reiss Nelson,"€ 113,238","€ 5,888,355","€ 5,888,355",F,24,England,Arsenal
Takehiro Tomiyasu,"€ 113,238","€ 5,888,355","€ 5,888,355",D,25,Japan,Arsenal
Diego Carlos,"€ 113,238","€ 5,888,355","€ 5,888,355",D,30,Brazil,Aston Villa
Pau Torres,"€ 113,238","€ 5,888,355","€ 5,888,355",D,27,Spain,Aston Villa
Tyrone Mings,"€ 113,238","€ 5,888,355","€ 5,888,355",D,30,England,Aston Villa
Edson Álvarez,"€ 113,238","€ 5,888,355","€ 5,888,355",M,26,Mexico,West Ham
Pierre-Emile Højbjerg,"€ 113,238","€ 5,888,355","€ 5,888,355",M,28,Denmark,Tottenham
Hugo Lloris,"€ 113,238","€ 5,888,355","€ 5,888,355",K,36,France,Tottenham
Eddie Nketiah,"€ 113,238","€ 5,888,355","€ 5,888,355",F,24,England,Arsenal
Matt Targett,"€ 113,238","€ 5,888,355","€ 5,888,355",D,28,England,Newcastle
Gabriel Magalhães,"€ 113,238","€ 5,888,355","€ 5,888,355",D,26,Brazil,Arsenal
Julián Álvarez,"€ 113,238","€ 5,888,355","€ 5,888,355",F,24,Argentina,Manchester City
Ederson,"€ 113,238","€ 5,888,355","€ 5,888,355",K,30,Brazil,Manchester City
Carney Chukwuemeka,"€ 113,238","€ 5,888,355","€ 5,888,355",M,20,England,Chelsea
Joel Matip,"€ 113,238","€ 5,888,355","€ 5,888,355",D,32,Cameroon,Liverpool
Levi Colwill,"€ 113,238","€ 5,888,355","€ 5,888,355",D,20,England,Chelsea
Mykhailo Mudryk,"€ 113,238","€ 5,888,355","€ 5,888,355",F,23,Ukraine,Chelsea
