,EST. BASE SALARY,EST. BASE SALARY,EST. BASE SALARY,BIO,BIO,BIO,
Nayef Aguerd,"€ 56,619","€ 2,944,177","€ 2,944,177",D,27,Morocco,West Ham
Matt Doherty,"€ 56,619","€ 2,944,177","€ 2,944,177",D,32,Ireland,Wolverhampton
Max Kilman,"€ 56,619","€ 2,944,177","€ 2,944,177",D,26,England,Wolverhampton
Pedro Neto,"€ 56,619","€ 2,944,177","€ 2,944,177",F,23,Portugal,Wolverhampton
Callum Wilson,"€ 52,089","€ 2,708,643","€ 2,708,643",F,31,England,Newcastle
Zack Steffen,"€ 52,089","€ 2,708,643","€ 2,708,643",K,28,United States,Manchester City
Lesley Ugochukwu,"€ 50,957","€ 2,649,760","€ 2,649,760",M,19,France,Chelsea
Mario Lemina,"€ 50,957","€ 2,649,760","€ 2,649,760",M,30,Gabon,Wolverhampton
Rob Holding,"€ 50,957","€ 2,649,760","€ 2,649,760",D,28,England,Crystal Palace
Igor,"€ 50,957","€ 2,649,760","€ 2,649,760",D,25,Brazil,Brighton
Bryan Mbeumo,"€ 50,957","€ 2,649,760","€ 2,649,760",F,24,Cameroon,Brentford
Tom Heaton,"€ 50,957","€ 2,649,760","€ 2,649,760",K,37,England,Manchester United
Odysseas Vlachodimos,"€ 50,957","€ 2,649,760","€ 2,649,760",K,29,Greece,Nottingham Forest
Cheikhou Kouyaté,"€ 50,957","€ 2,649,760","€ 2,649,760",M,34,Senegal,Nottingham Forest
Calvin Bassey,"€ 50,957","€ 2,649,760","€ 2,649,760",D,24,Nigeria,Fulham
Josh Brownhill,"€ 50,957","€ 2,649,760","€ 2,649,760",M,28,England,Burnley
Roméo Lavia,"€ 50,957","€ 2,649,760","€ 2,649,760",M,20,Belgium,Chelsea
Moussa Niakhaté,"€ 50,957","€ 2,649,760","€ 2,649,760",D,27,Senegal,Nottingham Forest
Fábio Vieira,"€ 50,957","€ 2,649,760","€ 2,649,760",F,23,Portugal,Arsenal
Jack Cork,"€ 50,957","€ 2,649,760","€ 2,649,760",M,34,England,Burnley
Matt Ritchie,"€ 50,957","€ 2,649,760","€ 2,649,760",M,34,Scotland,Newcastle
Daniel Muñoz,"€ 50,957","€ 2,649,760","€ 2,649,760",D,27,Colombia,Crystal Palace
Craig Dawson,"€ 50,957","€ 2,649,760","€ 2,649,760",D,33,England,Wolverhampton
Malo Gusto,"€ 50,957","€ 2,649,760","€ 2,649,760",D,20,France,Chelsea
Philip Billing,"€ 50,957","€ 2,649,760","€ 2,649,760",M,27,Denmark,Bournemouth
Fabian Schär,"€ 50,957","€ 2,649,760","€ 2,649,760",D,32,Switzerland,Newcastle
Armando Broja,"€ 45,295","€ 2,355,342","€ 2,355,342",F,21,Albania,Chelsea
Stefan Bajcetic,"€ 45,295","€ 2,355,342","€ 2,355,342",M,19,Spain,Liverpool
Lewis Cook,"€ 45,295","€ 2,355,342","€ 2,355,342",M,26,England,Bournemouth
Armando Broja,"€ 45,295","€ 2,355,342","€ 2,355,342",F,22,Albania,Fulham
Tosin Adarabioyo,"€ 45,295","€ 2,355,342","€ 2,355,342",D,26,England,Fulham
Sam Johnstone,"€ 45,295","€ 2,355,342","€ 2,355,342",K,30,England,Crystal Palace
Jay Rodríguez,"€ 45,295","€ 2,355,342","€ 2,355,342",F,34,England,Burnley
Giovanni Reyna,"€ 45,295","€ 2,355,342","€ 2,355,342",F,21,United States,Nottingham Forest
Oliver Skipp,"€ 45,295","€ 2,355,342","€ 2,355,342",M,23,England,Tottenham
Martin Dubravka,"€ 45,295","€ 2,355,342","€ 2,355,342",K,35,Slovakia,Newcastle
Frank Onyeka,"€ 45,295","€ 2,355,342","€ 2,355,342",M,26,Nigeria,Brentford
Ola Aina,"€ 45,295","€ 2,355,342","€ 2,355,342",D,27,Nigeria,Nottingham Forest
Emerson,"€ 45,295","€ 2,355,342","€ 2,355,342",D,25,Brazil,Tottenham
Kristoffer Ajer,"€ 45,295","€ 2,355,342","€ 2,355,342",D,25,Norway,Brentford
Bryan Gil,"€ 45,295","€ 2,355,342","€ 2,355,342",F,22,Spain,Tottenham
Josh Cullen,"€ 45,295","€ 2,355,342","€ 2,355,342",M,27,Ireland,Burnley
Emile Smith Rowe,"€ 45,295","€ 2,355,342","€ 2,355,342",F,23,England,Arsenal
Willy Boly,"€ 45,295","€ 2,355,342","€ 2,355,342",D,33,Cote d'Ivoire,Nottingham Forest
Tyrick Mitchell,"€ 45,295","€ 2,355,342","€ 2,355,342",D,24,England,Crystal Palace
Sander Berge,"€ 45,295","€ 2,355,342","€ 2,355,342",M,25,Norway,Burnley
Jamaal Lascelles,"€ 45,295","€ 2,355,342","€ 2,355,342",D,30,England,Newcastle
Matheus França,"€ 45,295","€ 2,355,342","€ 2,355,342",F,19,Brazil,Crystal Palace
Ashley Young,"€ 45,295","€ 2,355,342","€ 2,355,342",D,38,England,Everton
Matt Turner,"€ 45,295","€ 2,355,342","€ 2,355,342",K,29,United States,Nottingham Forest
Harvey Elliott,"€ 45,295","€ 2,355,342","€ 2,355,342",F,20,England,Liverpool
Alex Scott,"€ 45,295","€ 2,355,342","€ 2,355,342",M,20,England,Bournemouth
Deivid Washington,"€ 45,295","€ 2,355,342","€ 2,355,342",F,18,Brazil,Chelsea
Santiago Bueno,"€ 45,295","€ 2,355,342","€ 2,355,342",D,25,Uruguay,Wolverhampton
Paul Dummett,"€ 39,633","€ 2,060,924","€ 2,060,924",D,32,Wales,Newcastle
Tariq Lamptey,"€ 39,633","€ 2,060,924","€ 2,060,924",D,23,Ghana,Brighton
Bart Verbruggen,"€ 39,633","€ 2,060,924","€ 2,060,924",K,21,Netherlands,Brighton
Javier Manquillo,"€ 39,633","€ 2,060,924","€ 2,060,924",D,29,Spain,Newcastle
Jacob Murphy,"€ 39,633","€ 2,060,924","€ 2,060,924",F,28,England,Newcastle
Joel Ward,"€ 39,633","€ 2,060,924","€ 2,060,924",D,34,England,Crystal Palace
Adam Wharton,"€ 39,633","€ 2,060,924","€ 2,060,924",M,19,England,Crystal Palace
Jarrad Branthwaite,"€ 39,633","€ 2,060,924","€ 2,060,924",D,21,England,Everton
Marcus Bettinelli,"€ 39,633","€ 2,060,924","€ 2,060,924",K,31,England,Chelsea
Vladimir Coufal,"€ 39,633","€ 2,060,924","€ 2,060,924",D,31,Czech Republic,West Ham
Adam Smith,"€ 39,633","€ 2,060,924","€ 2,060,924",D,32,England,Bournemouth
Sasa Kalajdzic,"€ 39,633","€ 2,060,924","€ 2,060,924",F,26,Austria,Wolverhampton
Álex Moreno,"€ 39,633","€ 2,060,924","€ 2,060,924",D,30,Spain,Aston Villa
Chris Mepham,"€ 39,633","€ 2,060,924","€ 2,060,924",D,26,Wales,Bournemouth
Dango Ouattara,"€ 39,633","€ 2,060,924","€ 2,060,924",F,21,Burkina Faso,Bournemouth
Jonny Otto,"€ 39,633","€ 2,060,924","€ 2,060,924",D,29,Spain,Wolverhampton
Marcus Tavernier,"€ 39,633","€ 2,060,924","€ 2,060,924",F,24,England,Bournemouth
Max Aarons,"€ 39,633","€ 2,060,924","€ 2,060,924",D,24,England,Bournemouth
Romain Faivre,"€ 39,633","€ 2,060,924","€ 2,060,924",M,25,France,Bournemouth
Ryan Fredericks,"€ 39,633","€ 2,060,924","€ 2,060,924",D,31,England,Bournemouth
Christian Nørgaard,"€ 39,633","€ 2,060,924","€ 2,060,924",M,29,Denmark,Brentford
Keane Lewis-Potter,"€ 39,633","€ 2,060,924","€ 2,060,924",F,22,England,Brentford
Ryan Giles,"€ 39,633","€ 2,060,924","€ 2,060,924",D,23,England,Luton Town
Harry Wilson,"€ 39,633","€ 2,060,924","€ 2,060,924",F,26,Wales,Fulham
Rhian Brewster,"€ 39,633","€ 2,060,924","€ 2,060,924",F,23,England,Sheffield United
Nathan Redmond,"€ 39,633","€ 2,060,924","€ 2,060,924",F,29,England,Burnley
Ben Brereton,"€ 39,633","€ 2,060,924","€ 2,060,924",F,24,Chile,Sheffield United
Jóhann Berg Gudmundsson,"€ 39,633","€ 2,060,924","€ 2,060,924",F,33,Iceland,Burnley
Bobby Reid,"€ 39,633","€ 2,060,924","€ 2,060,924",F,31,Jamaica,Fulham
Jacob Bruun Larsen,"€ 39,633","€ 2,060,924","€ 2,060,924",F,25,Denmark,Burnley
Nicolás Domínguez,"€ 39,633","€ 2,060,924","€ 2,060,924",M,25,Argentina,Nottingham Forest
Altay Bayındır,"€ 39,633","€ 2,060,924","€ 2,060,924",K,25,Turkey,Manchester United
Matz Sels,"€ 39,633","€ 2,060,924","€ 2,060,924",K,31,Belgium,Nottingham Forest
Rico Henry,"€ 39,633","€ 2,060,924","€ 2,060,924",D,26,England,Brentford
Harry Toffolo,"€ 39,633","€ 2,060,924","€ 2,060,924",D,28,England,Nottingham Forest
Andrew Omobamidele,"€ 39,633","€ 2,060,924","€ 2,060,924",D,21,Ireland,Nottingham Forest
Lyle Foster,"€ 36,802","€ 1,913,715","€ 1,913,715",F,23,South Africa,Burnley
Fodé Ballo-Touré,"€ 36,802","€ 1,913,715","€ 1,913,715",D,27,Senegal,Fulham
Marvelous Nakamba,"€ 33,971","€ 1,766,506","€ 1,766,506",M,30,Zimbabwe,Luton Town
Mark Flekken,"€ 33,971","€ 1,766,506","€ 1,766,506",K,30,Netherlands,Brentford
Jacob Brown,"€ 33,971","€ 1,766,506","€ 1,766,506",F,25,Scotland,Luton Town
Joshua Da Silva,"€ 33,971","€ 1,766,506","€ 1,766,506",M,25,England,Brentford
Ethan Pinnock,"€ 33,971","€ 1,766,506","€ 1,766,506",D,30,Jamaica,Brentford
Charlie Taylor,"€ 33,971","€ 1,766,506","€ 1,766,506",D,30,England,Burnley
João Gomes,"€ 33,971","€ 1,766,506","€ 1,766,506",M,22,Brazil,Wolverhampton
Milos Kerkez,"€ 33,971","€ 1,766,506","€ 1,766,506",D,20,Hungary,Bournemouth
Tom Cairney,"€ 33,971","€ 1,766,506","€ 1,766,506",M,33,Scotland,Fulham
Scott Carson,"€ 33,971","€ 1,766,506","€ 1,766,506",K,38,England,Manchester City
Lloyd Kelly,"€ 33,971","€ 1,766,506","€ 1,766,506",D,25,England,Bournemouth
Zeki Amdouni,"€ 33,971","€ 1,766,506","€ 1,766,506",F,23,Switzerland,Burnley
Nuno Tavares,"€ 33,971","€ 1,766,506","€ 1,766,506",D,24,Portugal,Nottingham Forest
Jhon Durán,"€ 33,971","€ 1,766,506","€ 1,766,506",F,20,Colombia,Aston Villa
Tim Ream,"€ 33,971","€ 1,766,506","€ 1,766,506",D,36,United States,Fulham
Murillo,"€ 33,971","€ 1,766,506","€ 1,766,506",D,21,Brazil,Nottingham Forest
Ionut Radu,"€ 33,971","€ 1,766,506","€ 1,766,506",K,26,Romania,Bournemouth
Nathan Collins,"€ 33,971","€ 1,766,506","€ 1,766,506",D,22,Ireland,Brentford
Elliot Anderson,"€ 33,971","€ 1,766,506","€ 1,766,506",F,21,Scotland,Newcastle
David Datro Fofana,"€ 33,971","€ 1,766,506","€ 1,766,506",F,21,Cote d'Ivoire,Burnley
James Garner,"€ 33,971","€ 1,766,506","€ 1,766,506",M,22,England,Everton
Vitaly Janelt,"€ 33,971","€ 1,766,506","€ 1,766,506",M,25,Germany,Brentford
Connor Roberts,"€ 33,971","€ 1,766,506","€ 1,766,506",D,27,Wales,Burnley
Youssef Chermiti,"€ 33,971","€ 1,766,506","€ 1,766,506",F,19,Portugal,Everton
Tom Davies,"€ 33,971","€ 1,766,506","€ 1,766,506",M,25,England,Sheffield United
Tahith Chong,"€ 33,971","€ 1,766,506","€ 1,766,506",F,24,Netherlands,Luton Town
Vinicius Souza,"€ 33,971","€ 1,766,506","€ 1,766,506",M,24,Brazil,Sheffield United
Orel Mangala,"€ 33,971","€ 1,766,506","€ 1,766,506",M,25,Belgium,Nottingham Forest
Ross Barkley,"€ 33,971","€ 1,766,506","€ 1,766,506",M,30,England,Luton Town
Mikkel Damsgaard,"€ 33,971","€ 1,766,506","€ 1,766,506",F,23,Denmark,Brentford
Gustavo Hamer,"€ 33,971","€ 1,766,506","€ 1,766,506",M,26,Netherlands,Sheffield United
Marquinhos,"€ 33,971","€ 1,766,506","€ 1,766,506",F,20,Brazil,Arsenal
Cameron Archer,"€ 33,971","€ 1,766,506","€ 1,766,506",F,22,England,Sheffield United
Danilo,"€ 33,971","€ 1,766,506","€ 1,766,506",M,22,Brazil,Nottingham Forest
Anel Ahmedhodzic,"€ 33,971","€ 1,766,506","€ 1,766,506",D,24,Bosnia-Herzegovina,Sheffield United
Amad Diallo,"€ 32,665","€ 1,698,564","€ 1,698,564",F,21,Cote d'Ivoire,Manchester United
Nathan Patterson,"€ 31,707","€ 1,648,739","€ 1,648,739",D,22,Scotland,Everton
Aaron Ramsey,"€ 28,309","€ 1,472,089","€ 1,472,089",F,21,England,Burnley
Jordan Ayew,"€ 28,309","€ 1,472,089","€ 1,472,089",F,32,Ghana,Crystal Palace
Djordje Petrovic,"€ 28,309","€ 1,472,089","€ 1,472,089",K,24,Serbia,Chelsea
Thomas Kaminski,"€ 28,309","€ 1,472,089","€ 1,472,089",K,31,Belgium,Luton Town
Tim Krul,"€ 28,309","€ 1,472,089","€ 1,472,089",K,35,Netherlands,Luton Town
Vitinho,"€ 28,309","€ 1,472,089","€ 1,472,089",D,24,Brazil,Burnley
Rico Lewis,"€ 28,309","€ 1,472,089","€ 1,472,089",D,19,England,Manchester City
James Trafford,"€ 28,309","€ 1,472,089","€ 1,472,089",K,21,England,Burnley
Benson Manuel,"€ 28,309","€ 1,472,089","€ 1,472,089",F,26,Belgium,Burnley
Kobbie Mainoo,"€ 28,309","€ 1,472,089","€ 1,472,089",M,19,England,Manchester United
Arijanet Muric,"€ 28,309","€ 1,472,089","€ 1,472,089",K,25,Kosovo,Burnley
Carlos Vinícius,"€ 28,309","€ 1,472,089","€ 1,472,089",F,28,Brazil,Fulham
Valentín Barco,"€ 28,309","€ 1,472,089","€ 1,472,089",D,19,Argentina,Brighton
Zanka,"€ 28,309","€ 1,472,089","€ 1,472,089",D,33,Denmark,Brentford
Yoane Wissa,"€ 28,309","€ 1,472,089","€ 1,472,089",F,27,Democratic Republic of the Congo,Brentford
Anthony Elanga,"€ 28,309","€ 1,472,089","€ 1,472,089",F,21,Sweden,Nottingham Forest
Thomas Strakosha,"€ 28,309","€ 1,472,089","€ 1,472,089",K,28,Albania,Brentford
Gonzalo Montiel,"€ 28,309","€ 1,472,089","€ 1,472,089",D,27,Argentina,Nottingham Forest
Ryan Yates,"€ 28,309","€ 1,472,089","€ 1,472,089",M,26,England,Nottingham Forest
Adam Davies,"€ 28,309","€ 1,472,089","€ 1,472,089",K,31,Wales,Sheffield United
Auston Trusty,"€ 28,309","€ 1,472,089","€ 1,472,089",D,25,United States,Sheffield United
Ivo Grbic,"€ 28,309","€ 1,472,089","€ 1,472,089",K,28,Croatia,Sheffield United
Jack Robinson,"€ 28,309","€ 1,472,089","€ 1,472,089",D,30,England,Sheffield United
John Fleck,"€ 28,309","€ 1,472,089","€ 1,472,089",M,32,Scotland,Sheffield United
Oliver McBurnie,"€ 28,309","€ 1,472,089","€ 1,472,089",F,27,Scotland,Sheffield United
Alejo Véliz,"€ 28,309","€ 1,472,089","€ 1,472,089",F,19,Argentina,Tottenham
Ilya Zabarnyi,"€ 28,309","€ 1,472,089","€ 1,472,089",D,21,Ukraine,Bournemouth
Darren Randolph,"€ 28,309","€ 1,472,089","€ 1,472,089",K,36,Ireland,Bournemouth
Dwight McNeil,"€ 28,309","€ 1,472,089","€ 1,472,089",F,24,England,Everton
Nathan Ferguson,"€ 28,309","€ 1,472,089","€ 1,472,089",D,23,England,Crystal Palace
Hugo Bueno,"€ 28,309","€ 1,472,089","€ 1,472,089",D,21,Spain,Wolverhampton
Isaac Hayden,"€ 24,912","€ 1,295,438","€ 1,295,438",M,28,England,Newcastle
Jayden Bogle,"€ 22,648","€ 1,177,671","€ 1,177,671",D,23,England,Sheffield United
Ben Osborn,"€ 22,648","€ 1,177,671","€ 1,177,671",M,29,England,Sheffield United
Scott McKenna,"€ 22,648","€ 1,177,671","€ 1,177,671",D,26,Scotland,Nottingham Forest
Hjalmar Ekdal,"€ 22,648","€ 1,177,671","€ 1,177,671",D,25,Sweden,Burnley
Enso González,"€ 22,648","€ 1,177,671","€ 1,177,671",F,19,Paraguay,Wolverhampton
Morgan Rogers,"€ 22,648","€ 1,177,671","€ 1,177,671",F,21,England,Aston Villa
Antoine Semenyo,"€ 22,648","€ 1,177,671","€ 1,177,671",F,24,Ghana,Bournemouth
Ben Johnson,"€ 22,648","€ 1,177,671","€ 1,177,671",D,24,England,West Ham
Billy Gilmour,"€ 22,648","€ 1,177,671","€ 1,177,671",M,22,Scotland,Brighton
Mark Travers,"€ 22,648","€ 1,177,671","€ 1,177,671",K,24,Ireland,Bournemouth
Andros Townsend,"€ 22,648","€ 1,177,671","€ 1,177,671",F,32,England,Luton Town
Cauley Woodrow,"€ 22,648","€ 1,177,671","€ 1,177,671",F,29,England,Luton Town
Ivan Toney,"€ 22,648","€ 1,177,671","€ 1,177,671",F,27,England,Brentford
Jason Steele,"€ 22,648","€ 1,177,671","€ 1,177,671",K,33,England,Brighton
Issa Kabore,"€ 22,648","€ 1,177,671","€ 1,177,671",D,22,Burkina Faso,Luton Town
Naouirou Ahamada,"€ 22,648","€ 1,177,671","€ 1,177,671",M,21,France,Crystal Palace
Djed Spence,"€ 22,648","€ 1,177,671","€ 1,177,671",D,23,England,Tottenham
Facundo Pellistri,"€ 22,648","€ 1,177,671","€ 1,177,671",F,21,Uruguay,Manchester United
Dara O'Shea,"€ 22,648","€ 1,177,671","€ 1,177,671",D,24,Ireland,Burnley
Mads Roerslev Rasmussen,"€ 22,648","€ 1,177,671","€ 1,177,671",D,24,Denmark,Brentford
Tom Lockyer,"€ 22,648","€ 1,177,671","€ 1,177,671",D,29,Wales,Luton Town
Giulian Biancone,"€ 22,648","€ 1,177,671","€ 1,177,671",D,23,France,Nottingham Forest
Oliver Norwood,"€ 22,648","€ 1,177,671","€ 1,177,671",M,32,Northern Ireland,Sheffield United
Harry Arter,"€ 22,648","€ 1,177,671","€ 1,177,671",M,34,Ireland,Nottingham Forest
Ethan Horvath,"€ 19,381","€ 1,007,815","€ 1,007,815",K,28,United States,Nottingham Forest
Yunus Emre Konak,"€ 16,986","€ 883,253","€ 883,253",M,18,Turkey,Brentford
Ameen Al-Dakhil,"€ 16,986","€ 883,253","€ 883,253",D,21,Belgium,Burnley
Anass Zaroury,"€ 16,986","€ 883,253","€ 883,253",F,22,Morocco,Burnley
Shandon Baptiste,"€ 16,986","€ 883,253","€ 883,253",M,25,Grenada,Brentford
Saman Ghoddos,"€ 16,986","€ 883,253","€ 883,253",F,30,Iran,Brentford
Hannes Delcroix,"€ 16,986","€ 883,253","€ 883,253",D,24,Belgium,Burnley
Han-Noah Massengo,"€ 16,986","€ 883,253","€ 883,253",M,22,France,Burnley
Wayne Hennessey,"€ 16,986","€ 883,253","€ 883,253",K,37,Wales,Nottingham Forest
Andre Brooks,"€ 16,986","€ 883,253","€ 883,253",M,20,England,Sheffield United
Michael Obafemi,"€ 16,986","€ 883,253","€ 883,253",F,23,Ireland,Burnley
Chris Basham,"€ 16,986","€ 883,253","€ 883,253",D,35,England,Sheffield United
James McAtee,"€ 16,986","€ 883,253","€ 883,253",M,21,England,Sheffield United
Luke Thomas,"€ 16,986","€ 883,253","€ 883,253",D,22,England,Sheffield United
Ashley Phillips,"€ 16,986","€ 883,253","€ 883,253",D,18,England,Tottenham
Brandon Austin,"€ 16,986","€ 883,253","€ 883,253",K,25,England,Tottenham
Mads Juel Andersen,"€ 16,986","€ 883,253","€ 883,253",D,26,Denmark,Luton Town
Daiki Hashioka,"€ 16,986","€ 883,253","€ 883,253",D,24,Japan,Luton Town
Chiedozie Ogbene,"€ 16,986","€ 883,253","€ 883,253",F,26,Ireland,Luton Town
Kieffer Moore,"€ 16,986","€ 883,253","€ 883,253",F,31,Wales,Bournemouth
Enes Ünal,"€ 16,986","€ 883,253","€ 883,253",F,26,Turkey,Bournemouth
Emiliano Marcondes,"€ 16,986","€ 883,253","€ 883,253",F,28,Denmark,Bournemouth
Marek Rodak,"€ 16,986","€ 883,253","€ 883,253",K,27,Slovakia,Fulham
Jarell Quansah,"€ 16,986","€ 883,253","€ 883,253",D,21,England,Liverpool
Bruno Jordão,"€ 16,986","€ 883,253","€ 883,253",M,24,Portugal,Wolverhampton
Curtis Jones,"€ 16,986","€ 883,253","€ 883,253",M,23,England,Liverpool
Facundo Buonanotte,"€ 16,986","€ 883,253","€ 883,253",F,19,Argentina,Brighton
Ben Doak,"€ 16,986","€ 883,253","€ 883,253",F,18,Scotland,Liverpool
Steven Alzate,"€ 16,986","€ 883,253","€ 883,253",M,24,Colombia,Brighton
Wes Foderingham,"€ 14,155","€ 736,044","€ 736,044",K,33,England,Sheffield United
William Osula,"€ 14,155","€ 736,044","€ 736,044",F,20,Denmark,Sheffield United
John Egan,"€ 14,155","€ 736,044","€ 736,044",D,31,Ireland,Sheffield United
Anis Slimane,"€ 14,155","€ 736,044","€ 736,044",M,22,Tunisia,Sheffield United
Luke Harris,"€ 14,155","€ 736,044","€ 736,044",F,18,Wales,Fulham
Elijah Adebayo,"€ 14,155","€ 736,044","€ 736,044",F,26,England,Luton Town
Reece Burke,"€ 14,155","€ 736,044","€ 736,044",D,27,England,Luton Town
Simon Adingra,"€ 14,155","€ 736,044","€ 736,044",F,22,Cote d'Ivoire,Brighton
Carlos Baleba,"€ 14,155","€ 736,044","€ 736,044",M,20,Cameroon,Brighton
Joe Whitworth,"€ 11,324","€ 588,835","€ 588,835",K,19,England,Crystal Palace
Jakub Moder,"€ 11,324","€ 588,835","€ 588,835",M,24,Poland,Brighton
Luca Koleosho,"€ 11,324","€ 588,835","€ 588,835",F,19,Italy,Burnley
Caoimhín Kelleher,"€ 11,324","€ 588,835","€ 588,835",K,25,Ireland,Liverpool
Lorenz Assignon,"€ 11,324","€ 588,835","€ 588,835",D,23,France,Burnley
Darko Churlinov,"€ 11,324","€ 588,835","€ 588,835",F,23,North Macedonia,Burnley
Mark Gillespie,"€ 11,324","€ 588,835","€ 588,835",K,32,England,Newcastle
Joe Gauci,"€ 11,324","€ 588,835","€ 588,835",K,23,Australia,Aston Villa
Max Lowe,"€ 11,324","€ 588,835","€ 588,835",D,26,England,Sheffield United
Tommy Doyle,"€ 11,324","€ 588,835","€ 588,835",M,22,England,Wolverhampton
Kortney Hause,"€ 11,324","€ 588,835","€ 588,835",D,28,England,Aston Villa
Daniel Bentley,"€ 11,324","€ 588,835","€ 588,835",K,30,England,Wolverhampton
Teden Mengi,"€ 11,324","€ 588,835","€ 588,835",D,21,England,Luton Town
Yasser Larouci,"€ 11,324","€ 588,835","€ 588,835",D,23,Algeria,Sheffield United
Jack Hinshelwood,"€ 11,324","€ 588,835","€ 588,835",M,18,England,Brighton
Tom McGill,"€ 11,324","€ 588,835","€ 588,835",K,23,Canada,Brighton
Pelly Ruddock Mpanzu,"€ 11,324","€ 588,835","€ 588,835",M,29,Democratic Republic of the Congo,Luton Town
Loris Karius,"€ 11,324","€ 588,835","€ 588,835",K,30,Germany,Newcastle
Luke Berry,"€ 11,324","€ 588,835","€ 588,835",M,31,England,Luton Town
Tom King,"€ 11,324","€ 588,835","€ 588,835",K,28,Wales,Wolverhampton
Karl Hein,"€ 11,324","€ 588,835","€ 588,835",K,22,Estonia,Arsenal
Kevin Schade,"€ 11,324","€ 588,835","€ 588,835",F,22,Germany,Brentford
Diego Moreira,"€ 11,324","€ 588,835","€ 588,835",F,19,Portugal,Chelsea
Conor Bradley,"€ 11,324","€ 588,835","€ 588,835",D,20,Northern Ireland,Liverpool
Gabriel Osho,"€ 11,324","€ 588,835","€ 588,835",D,25,England,Luton Town
Carlton Morris,"€ 11,324","€ 588,835","€ 588,835",F,28,England,Luton Town
Amari'i Bell,"€ 11,324","€ 588,835","€ 588,835",D,29,Jamaica,Luton Town
Andrey Santos,"€ 11,324","€ 588,835","€ 588,835",M,19,Brazil,Nottingham Forest
Bénie Traoré,"€ 11,324","€ 588,835","€ 588,835",F,20,Cote d'Ivoire,Sheffield United
Rayan Aït-Nouri,"€ 11,324","€ 588,835","€ 588,835",D,22,Algeria,Wolverhampton
Wilson Odobert,"€ 11,324","€ 588,835","€ 588,835",F,19,France,Burnley
Mike Trésor,"€ 11,324","€ 588,835","€ 588,835",F,24,Belgium,Burnley
Ismaila Coulibaly,"€ 11,324","€ 588,835","€ 588,835",M,23,Mali,Sheffield United
Steven Benda,"€ 11,324","€ 588,835","€ 588,835",K,25,Germany,Fulham
Julio Enciso,"€ 11,324","€ 588,835","€ 588,835",F,20,Paraguay,Brighton
Brandon Aguilera,"€ 11,324","€ 588,835","€ 588,835",F,20,Costa Rica,Nottingham Forest
George Baldock,"€ 11,324","€ 588,835","€ 588,835",D,30,Greece,Sheffield United
Hákon Rafn Valdimarsson,"€ 11,324","€ 588,835","€ 588,835",K,22,Iceland,Brentford
Rhys Williams,"€ 11,324","€ 588,835","€ 588,835",D,22,England,Liverpool
Malcolm Ebiowei,"€ 11,324","€ 588,835","€ 588,835",F,19,England,Crystal Palace
Ellery Balcombe,"€ 11,324","€ 588,835","€ 588,835",K,24,England,Brentford
Dan Potts,"€ 11,324","€ 588,835","€ 588,835",D,29,England,Luton Town
Femi Seriki,"€ 11,324","€ 588,835","€ 588,835",D,21,England,Sheffield United
Lewis Dobbin,"€ 9,059","€ 471,068","€ 471,068",F,21,England,Everton
Joe Rothwell,"€ 9,059","€ 471,068","€ 471,068",M,28,England,Bournemouth
Charlie Goode,"€ 9,059","€ 471,068","€ 471,068",D,28,England,Brentford
Alfie Doughty,"€ 8,493","€ 441,627","€ 441,627",M,24,England,Luton Town
Remi Matthews,"€ 8,493","€ 441,627","€ 441,627",K,29,England,Crystal Palace
Rodrigo Muniz,"€ 8,493","€ 441,627","€ 441,627",F,22,Brazil,Fulham
Alfie Whiteman,"€ 8,493","€ 441,627","€ 441,627",K,25,England,Tottenham
James Shea,"€ 8,493","€ 441,627","€ 441,627",K,32,England,Luton Town
Willy Kambwala,"€ 8,493","€ 441,627","€ 441,627",D,19,France,Manchester United
Andy Lonergan,"€ 8,493","€ 441,627","€ 441,627",K,40,England,Everton
João Virgínia,"€ 8,493","€ 441,627","€ 441,627",K,24,Portugal,Everton
Cesare Casadei,"€ 8,493","€ 441,627","€ 441,627",M,21,Italy,Chelsea
Rodrigo Ribeiro,"€ 8,493","€ 441,627","€ 441,627",F,18,Portugal,Nottingham Forest
Jesurun Rak-Sakyi,"€ 8,493","€ 441,627","€ 441,627",F,21,England,Crystal Palace
Tyrese Francois,"€ 7,927","€ 412,185","€ 412,185",M,23,Australia,Fulham
Lewis Hall,"€ 7,927","€ 412,185","€ 412,185",D,19,England,Newcastle
Lawrence Vigouroux,"€ 7,927","€ 412,185","€ 412,185",K,30,Chile,Burnley
Fred Onyedinma,"€ 6,794","€ 353,301","€ 353,301",F,27,Nigeria,Luton Town
CJ Egan-Riley,"€ 6,794","€ 353,301","€ 353,301",D,20,England,Burnley
Yegor Yarmolyuk,"€ 5,662","€ 294,418","€ 294,418",F,19,Ukraine,Brentford
Conor Coventry,"€ 5,662","€ 294,418","€ 294,418",M,23,Ireland,West Ham
Joe Hodge,"€ 5,662","€ 294,418","€ 294,418",M,20,Ireland,Wolverhampton
Tyler Onyango,"€ 5,662","€ 294,418","€ 294,418",M,20,England,Everton
Maxime Estève,"€ 5,662","€ 294,418","€ 294,418",D,21,France,Burnley
Noha Lemina,"€ 5,662","€ 294,418","€ 294,418",F,18,France,Wolverhampton
Myles Peart-Harris,"€ 5,662","€ 294,418","€ 294,418",F,20,England,Brentford
